"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
68663,6/30/2019 0:00:00,10400,"IBM SOUTHEAST EMPLOYEES",632,"IBMSECU"
68668,6/30/2019 0:00:00,2835,"1ST NORTHERN CALIFORNIA",584,"1st Nor Cal"
68670,6/30/2019 0:00:00,4425,"ROBINS FINANCIAL",569,"Robins Financial Credit Union"
68671,6/30/2019 0:00:00,5712,"ENT",4,"Ent"
68685,6/30/2019 0:00:00,2163,"CENTRICITY",362,"Mortgage Solutions"
68685,6/30/2019 0:00:00,2163,"CENTRICITY",363,"Metro"
68689,6/30/2019 0:00:00,14341,"VALLEY FINANCIAL CREDIT UNION",652,"Valley Credit Union"
68694,6/30/2019 0:00:00,14570,"GULF WINDS",461,"gogulfwinds.com"
68694,6/30/2019 0:00:00,14570,"GULF WINDS",710,"GWCU"
68695,6/30/2019 0:00:00,2320,"COBALT",60,"SAC FEDERAL CREDIT UNION"
68695,6/30/2019 0:00:00,2320,"COBALT",663,"Cobalt Credit Union"
68696,6/30/2019 0:00:00,5163,"NORTHERN",149,"Northern Credit Union"
68702,6/30/2019 0:00:00,943,"ADDITION FINANCIAL",235,"Addition Financial"
82791,6/30/2019 0:00:00,21640,"BEACON",462,"Beacon Trust Services"
82791,6/30/2019 0:00:00,21640,"BEACON",463,"Beacon Investment Services"
82791,6/30/2019 0:00:00,21640,"BEACON",464,"Beacon Ag Group"
95015,6/30/2019 0:00:00,23038,"KANE COUNTY TEACHERS",455,"KCTCU"
95015,6/30/2019 0:00:00,23038,"KANE COUNTY TEACHERS",456,"KCT Credit Union"
95073,6/30/2019 0:00:00,23096,"MID-CITIES",544,"Mid Cities CU"
95073,6/30/2019 0:00:00,23096,"MID-CITIES",545,"Mid Cities Credit Union"
95073,6/30/2019 0:00:00,23096,"MID-CITIES",546,"MCCU"
96071,6/30/2019 0:00:00,24103,"ABBOTT LABORATORIES",358,"ALEC"
96719,6/30/2019 0:00:00,25273,"GORMAN-RUPP & ASSOCIATES",245,"GROhio Community Credit Union"
96770,6/30/2019 0:00:00,25547,"PRODUCERS EMPLOYEES'",565,"PECU"
97059,6/30/2019 0:00:00,15711,"EARTHMOVER",226,"Panther Credit Union"
97059,6/30/2019 0:00:00,15711,"EARTHMOVER",661,"PCU"
97059,6/30/2019 0:00:00,15711,"EARTHMOVER",662,"ECU"
97068,6/30/2019 0:00:00,16728,"CHRISTIAN COMMUNITY",63,"The Credit Union"
97068,6/30/2019 0:00:00,16728,"CHRISTIAN COMMUNITY",64,"Christian Community CU"
97068,6/30/2019 0:00:00,16728,"CHRISTIAN COMMUNITY",305,"CCCU"
97068,6/30/2019 0:00:00,16728,"CHRISTIAN COMMUNITY",393,"myCCCU"
97068,6/30/2019 0:00:00,16728,"CHRISTIAN COMMUNITY",548,"Christian Community Credit Union"
97084,6/30/2019 0:00:00,15785,"DUPAGE",439,"DuPage Mortgage"
97085,6/30/2019 0:00:00,3203,"SILVER STATE SCHOOLS",664,"Silver State Mortgage Company"
97107,6/30/2019 0:00:00,4960,"UNITED TEXAS",162,"UNITED SA FCU"
97107,6/30/2019 0:00:00,4960,"UNITED TEXAS",163,"UNITED SA"
97107,6/30/2019 0:00:00,4960,"UNITED TEXAS",573,"United Texas Credit Union"
