"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
18175,6/30/2019 0:00:00,9571,"HENRICO",574,"Henrico FCU at Nabisco"
18297,6/30/2019 0:00:00,9632,"COASTAL",585,"Daymark Realty"
18297,6/30/2019 0:00:00,9632,"COASTAL",586,"Coastal Wealth Management"
18297,6/30/2019 0:00:00,9632,"COASTAL",587,"Coastal Credit Union"
18297,6/30/2019 0:00:00,9632,"COASTAL",607,"Coastal Title"
18297,6/30/2019 0:00:00,9632,"COASTAL",608,"Coastal Foundation"
18616,6/30/2019 0:00:00,9811,"DUKE UNIVERSITY",55,"Duke Credit Union"
18707,6/30/2019 0:00:00,9853,"INTERSTATE UNLIMITED",279,"Interstate Credit Union"
18710,6/30/2019 0:00:00,9856,"GARDEN SAVINGS",400,"Garden Savings"
18814,6/30/2019 0:00:00,9905,"GARLAND COUNTY EDUCATORS",688,"GCEFCU"
19263,6/30/2019 0:00:00,10142,"NEW ENGLAND",69,"New England Federal Credit Union"
