rssd,CDFI
3625002,FALSE
1009840,FALSE
411576,FALSE
709143,FALSE
2805928,FALSE
74403,FALSE
752644,TRUE
779351,FALSE
963945,FALSE
2615190,FALSE
435077,FALSE
203043,FALSE
177920,FALSE
836843,FALSE
793571,FALSE
302656,FALSE
3686928,FALSE
1897270,FALSE
253356,FALSE
770068,FALSE
255350,FALSE
501105,FALSE
855563,FALSE
196800,FALSE
456045,FALSE
3118447,FALSE
923752,FALSE
849432,FALSE
3109043,FALSE
978417,FALSE
856346,FALSE
287959,FALSE
3690596,FALSE
692946,FALSE
282075,FALSE
2631846,FALSE
2132941,FALSE
339773,FALSE
1014657,FALSE
18827,FALSE
2649122,FALSE
30502,FALSE
3678857,FALSE
289702,FALSE
685649,FALSE
709956,FALSE
1401387,FALSE
186221,FALSE
936136,FALSE
95051,FALSE
2953418,FALSE
3202702,FALSE
2794732,TRUE
176101,FALSE
245276,FALSE
2376,FALSE
342410,FALSE
948643,FALSE
2938769,TRUE
715032,FALSE
1864197,FALSE
107244,FALSE
3212402,FALSE
3368635,FALSE
1001639,FALSE
729310,FALSE
2760102,FALSE
3465392,FALSE
455972,FALSE
60330,FALSE
556815,FALSE
814711,FALSE
375043,FALSE
1188987,FALSE
6039,FALSE
972648,TRUE
2925666,FALSE
292467,FALSE
3232204,FALSE
940311,FALSE
2736291,FALSE
12647,FALSE
431172,FALSE
643658,FALSE
2598396,FALSE
1918344,FALSE
2692753,FALSE
2687133,FALSE
860259,FALSE
664756,FALSE
204004,FALSE
1222948,FALSE
480059,FALSE
264772,FALSE
945053,FALSE
1005655,FALSE
2743244,FALSE
233031,FALSE
316840,FALSE
3437157,FALSE
253468,FALSE
977045,FALSE
663058,FALSE
613008,FALSE
466044,FALSE
918918,FALSE
618807,FALSE
506922,FALSE
2797162,FALSE
647414,FALSE
588348,FALSE
525549,FALSE
879336,FALSE
3350724,FALSE
656470,FALSE
3235410,FALSE
1009354,FALSE
306140,FALSE
203052,FALSE
3348888,FALSE
411473,FALSE
1494914,FALSE
961343,FALSE
2942690,FALSE
1216826,FALSE
663245,FALSE
3532641,FALSE
117775,FALSE
185448,FALSE
3325759,FALSE
260868,FALSE
74056,FALSE
717924,FALSE
2849801,FALSE
3386536,FALSE
547840,FALSE
2009605,FALSE
926342,FALSE
2791517,FALSE
45038,FALSE
345747,FALSE
35301,FALSE
936426,FALSE
3284490,FALSE
3076248,FALSE
3750650,FALSE
675332,FALSE
140362,FALSE
1014059,FALSE
100562,FALSE
266271,FALSE
366247,FALSE
3619216,FALSE
133579,FALSE
2901558,FALSE
960533,FALSE
696645,FALSE
854548,FALSE
285553,FALSE
780218,FALSE
420653,FALSE
915878,FALSE
294779,FALSE
433608,FALSE
3194692,FALSE
695349,FALSE
196752,FALSE
134437,FALSE
342634,FALSE
3290240,FALSE
3475083,FALSE
528960,FALSE
739355,FALSE
3212149,FALSE
3103591,FALSE
90337,FALSE
963730,FALSE
2744782,FALSE
333203,FALSE
137652,FALSE
354310,FALSE
236957,FALSE
659556,FALSE
3146150,FALSE
590220,FALSE
320070,FALSE
347956,FALSE
804150,FALSE
173575,FALSE
3270046,FALSE
645465,FALSE
678717,FALSE
330873,FALSE
283867,FALSE
598002,FALSE
971959,FALSE
761806,FALSE
646556,FALSE
1225761,FALSE
645625,FALSE
3138146,FALSE
445852,FALSE
892205,FALSE
2700984,FALSE
746513,FALSE
1445943,FALSE
2265456,FALSE
899343,FALSE
988153,FALSE
2806840,FALSE
311265,FALSE
69333,TRUE
792640,FALSE
276579,FALSE
591320,FALSE
3472046,FALSE
980531,FALSE
1013070,FALSE
818652,FALSE
723112,FALSE
3214059,FALSE
885225,FALSE
111157,FALSE
829032,FALSE
745347,FALSE
129732,FALSE
595869,FALSE
344816,FALSE
768458,FALSE
874050,FALSE
738657,FALSE
298245,FALSE
685023,FALSE
837037,FALSE
362717,FALSE
804860,FALSE
71318,FALSE
492650,FALSE
288853,FALSE
292908,FALSE
2746263,FALSE
48374,FALSE
470050,FALSE
147857,FALSE
294564,FALSE
491224,FALSE
441256,FALSE
485559,FALSE
820048,FALSE
397456,FALSE
3555248,FALSE
5193989,FALSE
572374,FALSE
3224478,FALSE
247551,FALSE
2666400,FALSE
808176,FALSE
867632,FALSE
3419416,FALSE
661223,FALSE
2758024,FALSE
139553,FALSE
449832,FALSE
3437456,FALSE
806958,FALSE
694904,FALSE
722544,FALSE
935308,TRUE
2967796,FALSE
577128,FALSE
220527,FALSE
300942,FALSE
2716828,FALSE
3028902,FALSE
3690701,FALSE
2059990,FALSE
648345,FALSE
3076604,FALSE
844053,FALSE
2858960,FALSE
962256,FALSE
2797724,FALSE
143662,FALSE
413208,FALSE
463342,FALSE
237066,FALSE
594451,FALSE
2532082,FALSE
173306,FALSE
689357,FALSE
148238,FALSE
975751,FALSE
3610567,FALSE
921178,FALSE
933023,FALSE
494168,FALSE
212522,FALSE
251857,FALSE
2806877,FALSE
698649,FALSE
425818,FALSE
644776,FALSE
1842065,FALSE
229801,FALSE
129358,FALSE
2760232,FALSE
2209553,FALSE
511832,FALSE
365848,FALSE
653648,FALSE
3317192,FALSE
814074,FALSE
493077,FALSE
625056,FALSE
991340,FALSE
488756,FALSE
350572,FALSE
335355,FALSE
554857,FALSE
386450,FALSE
3825080,FALSE
2860459,FALSE
6329,FALSE
114774,FALSE
535753,FALSE
3614837,FALSE
101671,FALSE
189549,FALSE
965789,FALSE
2694681,FALSE
21658,FALSE
224552,FALSE
777870,FALSE
345345,FALSE
2919898,FALSE
2580243,FALSE
9807,FALSE
83638,FALSE
1169650,FALSE
660655,FALSE
568359,FALSE
3447576,FALSE
139133,FALSE
498362,FALSE
958727,FALSE
353555,FALSE
599764,FALSE
361439,FALSE
213912,FALSE
659734,FALSE
470452,FALSE
390372,FALSE
311845,FALSE
54973,FALSE
917742,FALSE
693224,FALSE
229173,FALSE
760649,FALSE
548351,FALSE
619701,FALSE
2917317,FALSE
3408728,FALSE
1386251,FALSE
200378,FALSE
606046,FALSE
419406,FALSE
1387605,FALSE
952846,FALSE
64552,TRUE
18854,FALSE
1011526,FALSE
165628,FALSE
613400,FALSE
497851,FALSE
633501,FALSE
2298995,FALSE
2483438,TRUE
825753,FALSE
939070,FALSE
811046,FALSE
640956,FALSE
594947,FALSE
812557,FALSE
295011,FALSE
653778,FALSE
187947,FALSE
734248,FALSE
481177,FALSE
818401,FALSE
879550,FALSE
492810,FALSE
879644,FALSE
1443266,FALSE
480228,FALSE
2390929,FALSE
137456,FALSE
3374403,FALSE
3308529,FALSE
351131,FALSE
517441,FALSE
3588312,FALSE
667524,FALSE
3720,FALSE
720344,FALSE
255659,FALSE
324854,FALSE
399731,FALSE
550354,FALSE
2913702,FALSE
932633,FALSE
145059,FALSE
746755,FALSE
2577739,FALSE
380944,FALSE
883959,FALSE
477349,FALSE
940021,FALSE
858528,FALSE
330855,FALSE
805335,FALSE
688556,FALSE
819453,FALSE
433550,FALSE
3357385,FALSE
479268,FALSE
273336,FALSE
54058,FALSE
2787770,FALSE
307679,FALSE
475756,FALSE
662369,FALSE
804963,FALSE
382537,TRUE
3217957,FALSE
777366,FALSE
364270,FALSE
997847,FALSE
300933,FALSE
2434113,FALSE
2970657,FALSE
852544,TRUE
428547,FALSE
496845,FALSE
255547,FALSE
791353,FALSE
480723,FALSE
248240,FALSE
513546,FALSE
810777,FALSE
365325,FALSE
352772,FALSE
2980209,FALSE
2508751,FALSE
188739,FALSE
433505,FALSE
2329200,TRUE
771609,FALSE
242976,FALSE
852320,FALSE
697633,FALSE
2954059,FALSE
251352,FALSE
1176881,FALSE
3284397,FALSE
3425725,FALSE
123374,FALSE
88352,FALSE
1008151,FALSE
3608751,TRUE
946171,FALSE
522605,FALSE
539032,FALSE
931047,FALSE
27548,FALSE
578741,FALSE
916745,TRUE
859552,FALSE
488318,FALSE
934329,FALSE
541101,FALSE
398668,FALSE
547550,FALSE
610539,FALSE
795968,FALSE
339858,FALSE
977951,FALSE
699105,FALSE
227656,FALSE
13103,FALSE
474254,FALSE
782306,FALSE
3356191,FALSE
24668,FALSE
933621,FALSE
416245,FALSE
225241,FALSE
4262534,FALSE
2907439,FALSE
719656,FALSE
50461,FALSE
758703,FALSE
593007,FALSE
398248,FALSE
379470,FALSE
664206,FALSE
968070,FALSE
596156,FALSE
2253891,FALSE
112837,FALSE
171656,FALSE
3476192,FALSE
306337,FALSE
930853,TRUE
572655,FALSE
3615021,FALSE
189044,FALSE
830542,FALSE
594433,FALSE
945026,FALSE
964250,FALSE
876634,FALSE
934271,FALSE
783648,FALSE
1007015,FALSE
934954,FALSE
299046,FALSE
576541,FALSE
1015243,FALSE
997650,FALSE
2826316,FALSE
611451,FALSE
506249,FALSE
290052,FALSE
386852,FALSE
853952,FALSE
751852,TRUE
704559,FALSE
701062,FALSE
382050,FALSE
678744,FALSE
411512,FALSE
377908,FALSE
273840,FALSE
928421,FALSE
3040418,FALSE
3597211,FALSE
1158878,FALSE
884303,FALSE
214722,FALSE
324340,FALSE
66677,FALSE
476810,FALSE
279954,FALSE
3303298,FALSE
1163283,FALSE
514132,TRUE
255556,FALSE
564838,FALSE
647777,FALSE
617145,FALSE
1000641,FALSE
575254,FALSE
814430,FALSE
641579,FALSE
2735173,FALSE
182951,FALSE
865544,FALSE
886624,FALSE
782548,FALSE
179700,FALSE
63069,FALSE
294751,FALSE
59352,FALSE
399517,FALSE
3148613,FALSE
181963,FALSE
717737,FALSE
794149,FALSE
3274709,FALSE
178356,TRUE
1718469,FALSE
2078290,FALSE
174572,FALSE
891253,FALSE
579319,FALSE
168357,FALSE
1391778,FALSE
60143,FALSE
772446,FALSE
601050,FALSE
5227101,FALSE
700430,TRUE
813853,FALSE
2642598,FALSE
460033,FALSE
675042,FALSE
202907,FALSE
774262,FALSE
2735324,FALSE
126049,FALSE
631422,FALSE
447100,FALSE
843476,FALSE
403151,FALSE
457752,FALSE
689209,FALSE
449935,FALSE
658072,FALSE
697035,FALSE
370954,FALSE
3029589,FALSE
639567,FALSE
297631,FALSE
2686211,FALSE
489155,FALSE
987848,FALSE
680130,TRUE
509811,FALSE
28675,FALSE
481579,FALSE
703767,FALSE
3052813,FALSE
729178,FALSE
47247,FALSE
271275,FALSE
193809,FALSE
65513,FALSE
571265,FALSE
347639,FALSE
846132,FALSE
924405,FALSE
3224580,FALSE
30810,FALSE
961624,FALSE
101439,FALSE
3133570,FALSE
128904,FALSE
456755,FALSE
686459,FALSE
1000100,FALSE
738303,FALSE
633677,FALSE
2594419,FALSE
804815,FALSE
3529315,FALSE
609645,FALSE
716833,FALSE
3068579,FALSE
137915,FALSE
427858,FALSE
171133,FALSE
1186965,FALSE
28013,FALSE
1356768,FALSE
781028,FALSE
370271,FALSE
3441677,FALSE
952172,FALSE
2834759,FALSE
672537,FALSE
537560,FALSE
466240,FALSE
520423,FALSE
156970,FALSE
388753,FALSE
411651,FALSE
524757,FALSE
3020447,FALSE
933041,FALSE
205346,FALSE
113030,FALSE
946461,FALSE
402462,FALSE
642857,FALSE
42420,FALSE
541231,FALSE
488420,FALSE
384278,FALSE
696551,FALSE
139843,FALSE
318974,FALSE
762474,FALSE
638850,FALSE
933377,FALSE
446176,FALSE
3664588,FALSE
837970,FALSE
827560,FALSE
981275,FALSE
44929,FALSE
850036,FALSE
1883321,FALSE
394259,FALSE
209148,FALSE
344647,FALSE
786948,FALSE
192558,FALSE
758851,FALSE
3401970,FALSE
436159,FALSE
419675,FALSE
169653,FALSE
2963266,FALSE
371232,FALSE
410560,FALSE
2568063,FALSE
1188772,FALSE
958204,FALSE
540775,FALSE
