cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2019","11/18/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","53260","53260","47289","0","5887","84","0","0","","11948","7553","41312","9481","8464","23367","45707","7553","45707","45981","43333","277","0","0","0","",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2019","11/18/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","22","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","1022353","1022353","871177","0","151176","0","0","0","","102590","63892","919763","60444","593655","265664","958461","232832","789521","974528","823866","20922","0","0","80344","",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2019","11/18/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","82272","82272","69797","0","0","12475","0","0","","22429","7693","59843","14087","5754","40002","74579","7693","74579","76370","70415","2413","0","0","12264","",""
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2019","11/18/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","30521","30521","25693","0","0","4828","0","0","","429","251","30092","2237","311","27544","30270","251","30270","25933","29138","2325","0","0","4617","",""
"31410","6903","535575","3834710","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","6/30/2019","11/18/2019","SB","300 Robertson Boulevard","FIRST CAROLINA BANCSHARES, M.H.C.","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","83323","83323","80182","0","288","2853","0","0","","34439","15605","48884","4682","18501","25701","67718","15685","67638","80163","75361","6646","0","0","0","",""
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2019","11/18/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","449620","449620","431816","0","17804","0","0","0","0","14208","8214","435412","16625","2208","416579","441406","8214","441406","136932","435217","1097","306389","306389","86323","0","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2019","11/18/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","163580","163580","143931","128","19522","0","0","0","","61139","37945","102442","8920","23937","69585","125636","37945","125635","149834","131610","3708","4088","0","0","",""
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2019","11/18/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","1346491","1346491","1326634","5241","10501","4115","0","0","","87919","30330","1258572","631927","117687","508957","1316161","30330","1316161","1151961","1021152","50154","114571","114571","4115","",""
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2019","11/18/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","5404348","5404348","4533481","6","845463","25398","0","0","","333138","333138","5071210","2958530","432327","1680353","5071210","1238606","4165742","4618376","3093400","171495","461836","461836","26564","",""
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2019","11/18/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","233100","233100","204725","0","28126","249","0","0","","130454","105153","102646","75721","8529","18396","127947","100324","132776","227125","135497","2095","0","0","249","",""
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2019","11/18/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","22003","22003","21077","0","926","0","0","0","","7801","4956","14202","1617","4983","7602","17047","5067","16936","21736","21150","1069","0","0","0","",""
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2019","11/18/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","938357","938357","819548","64","116291","2454","0","0","","105822","37684","832535","267644","130746","434145","900673","74125","864232","872139","700841","109147","0","0","0","",""
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","6/30/2019","11/18/2019","NM","44 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","220216","220216","197126","0","10987","12103","0","0","","54138","45579","166078","4234","12320","149524","174637","31138","189078","144337","167280","5889","24898","24898","10866","",""
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","6/30/2019","11/18/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","122197","122197","119569","0","2628","0","0","0","","59882","21771","62315","0","51552","10763","100426","21771","100426","122197","114096","5019","0","0","0","",""
"9751","0","340256","3304352","21st Century Bank","Loretto","MN","55357","6/30/2019","11/18/2019","NM","699 North Medina Street","DOLPHIN FAMILY MANAGEMENT CO.","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","469943","469943","459789","0","10154","0","0","0","","18711","16274","451232","79034","134988","237210","453669","84089","385854","280734","381843","9311","187106","187106","0","",""
"16910","0","449430","3438051","22nd State Bank","Louisville","AL","36048","6/30/2019","11/18/2019","NM","1920 Main Street","FEB BANCSHARES, INC.","5","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","10/1/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","116714","116714","97018","230","19466","0","0","0","","34867","17889","81847","8889","5637","67320","98825","17889","98825","95022","97819","3002","12572","12572","9156","",""
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","6/30/2019","11/18/2019","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","173005","173005","160311","0","7938","4756","0","0","","63056","47453","109949","65133","4496","40320","125552","47891","125114","160580","132061","4150","0","0","0","",""
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","6/30/2019","11/18/2019","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","152212","152212","138872","0","13340","0","0","0","","96892","76949","55320","26359","7941","21021","75263","50936","101276","144044","107015","3284","0","0","0","",""
