cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,igltrad,iglrtex,iglfxex,igledex,iglcmex,IGLCREX
"14488","12330","1001853","1099784","Citizens Bank","New Haven","MO","63068","6/30/2019","11/18/2019","NM","100 Circle Drive","CITIZENS FINANCIAL GROUP, INC.","4","0","0","4","0","Franklin","41180","St. Louis, MO-IL","1/1/1934","6/19/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.citizensbankmo.com","0","","","","",""
"8758","12611","410944","1203835","Citizens Bank","Sac City","IA","50583","6/30/2019","11/18/2019","NM","500 Main Street","CITIZENS HOLDING COMPANY","2","0","0","2","1","Sac","","","2/8/1929","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","","","","","","",""
"14851","12187","778738","2244545","Citizens Bank","Elizabethton","TN","37643","6/30/2019","11/18/2019","NM","300 Broad Street","CITCO COMMUNITY BANCSHARES, INC.","14","0","0","4","1","Carter","27740","Johnson City, TN","11/3/1934","11/3/1934","3/1/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","0","","","","",""
"893","0","126834","0","Citizens Bank","Carthage","TN","37030","6/30/2019","11/18/2019","NM","407 Main Street","","8","0","0","8","0","Smith","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/26/1929","1/1/1934","5/16/2017","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","","","","","",""
"262","14495","840019","2262268","Citizens Bank","Mount Vernon","KY","40456","6/30/2019","11/18/2019","NM","411 New Brodhead Road","ROCKCASTLE BANCORP, INC.","4","0","0","4","1","Rockcastle","","","1/1/1904","1/1/1934","5/1/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","","","","","",""
"57483","0","3174920","3439179","Citizens Bank & Trust","Guntersville","AL","35976","6/30/2019","11/18/2019","NM","711 Gunter Avenue","CITIZENS B & T HOLDINGS, INC.","8","0","0","4","0","Marshall","","","3/3/2003","3/3/2003","10/25/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","","","","","","",""
"14293","0","964250","0","Citizens Bank & Trust","Rock Port","MO","64482","6/30/2019","11/18/2019","NM","101 North Main Street","","3","0","0","2","1","Atchison","","","3/28/1902","4/26/1934","11/6/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.cbtmo.com","","","","","",""
"10218","0","56258","1121966","Citizens Bank & Trust Co.","Hutchinson","MN","55350","6/30/2019","11/18/2019","NM","102 Main Street South","CITIZENS BANCSHARES OF HUTCHINSON, INC.","3","0","0","4","1","Mcleod","","","1/1/1886","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","","","","","",""
"9777","16066","729945","2605249","Citizens Bank & Trust Co.","Marks","MS","38646","6/30/2019","11/18/2019","NM","239 East Main St","CB&T BANCSHARES, INC.","3","0","0","2","1","Quitman","","","8/17/1917","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","West","0","1","","","","","","",""
"18620","9139","765318","2753869","Citizens Bank & Trust Co. of Jackson","Jackson","KY","41339","6/30/2019","11/18/2019","NM","720 Hwy, 15 South","JOHN R TURNER HOLDING COMPANY","3","0","0","4","1","Breathitt","","","11/17/1962","11/17/1962","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","","","","","",""
