cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"28774","2335","450472","0","Loomis Federal Savings and Loan Association","Chicago","IL","60638","6/30/2019","11/18/2019","SA","6350 West 63rd Street","","1","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1929","8/25/1939","6/25/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","26379","5","0","363","699","6042","15703","1084","0","511","0","286","549"
"58112","0","3462449","0","Louisa Community Bank","Louisa","KY","41230","6/30/2019","11/18/2019","NM","4393 Highway 2565","","1","0","0","4","0","Lawrence","","","8/7/2006","8/7/2006","10/24/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","21637","226","824","968","1031","1298","0","1252","3112","4845","1033","3520","707"
"21807","0","764151","0","Lovelady State Bank","Lovelady","TX","75851","6/30/2019","11/18/2019","NM","910 S Commerce St","","1","0","0","8","1","Houston","","","11/4/1974","11/4/1974","12/27/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","23444","2","4","650","465","3200","1074","3204","3598","3940","2968","3594","557"
"10202","0","457","1127016","Lowry State Bank","Lowry","MN","56349","6/30/2019","11/18/2019","NM","400 Florence Avenue","FINANCIAL SERVICES OF LOWRY, INC.","1","0","0","2","1","Pope","","","10/4/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","47347","335","1215","5351","4394","463","0","10681","7914","9601","5139","980","1186"
"253","10130","674849","1209211","Luana Savings Bank","Luana","IA","52156","6/30/2019","11/18/2019","NM","100 Harvest Drive","LUANA BANCORPORATION","5","0","0","2","1","Clayton","","","8/1/1908","1/1/1934","3/26/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.luanasavingsbank.com","1085029","3997","8039","24700","38026","132670","105023","46972","51176","80184","109471","433572","50983"
"20568","15993","651121","0","Lumbee Guaranty Bank","Pembroke","NC","28372","6/30/2019","11/18/2019","NM","403 East Third Street","","14","0","0","4","0","Robeson","","","12/22/1971","12/22/1971","1/22/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","","187443","16813","3283","8363","13676","4104","281","69765","11883","22930","23450","7104","1258"
"34058","12260","385686","3789986","Lusitania Savings Bank","Newark","NJ","7105","6/30/2019","11/18/2019","SB","107 Pulaski Street","LUSITANIA FINANCIAL, MHC","4","0","0","8","0","Essex","35620","New York-Newark-Jersey City, NY-NJ-PA","9/1/1995","9/1/1995","12/17/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","152707","6","265","1791","5585","83201","29808","701","2815","2688","3362","20663","333"
"8724","0","912550","1051353","Lusk State Bank","Lusk","WY","82225","6/30/2019","11/18/2019","SM","445 South Main St","BANKERS CAPITAL CORPORATION","1","0","0","2","1","Niobrara","","","5/26/1924","1/1/1934","3/2/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","","32431","0","73","95","98","22","0","11126","3807","8095","4765","3174","1176"
"32178","7960","497570","3814208","Luther Burbank Savings","Santa Rosa","CA","95401","6/30/2019","11/18/2019","NM","500 Third Street","LUTHER BURBANK CORPORATION","13","0","1","4","0","Sonoma","42220","Santa Rosa, CA","1/1/1982","10/7/1983","7/18/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","0","www.lutherburbanksavings.com","6277385","69449","193377","561861","970805","296430","41224","175084","87853","9947","10333","206718","3642621"
"27727","179","901974","0","Lyons Federal Bank","Lyons","KS","67554","6/30/2019","11/18/2019","SA","200 East Ave South","","4","0","0","2","0","Rice","","","1/1/1913","12/6/1935","4/1/2017","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","87730","2070","2793","710","592","5680","11822","4802","12807","4482","14087","12806","15050"
"17388","0","1003839","1841732","M C Bank & Trust Company","Morgan City","LA","70380","6/30/2019","11/18/2019","NM","1201 Brashear Avenue","M C BANCSHARES, INC.","7","0","0","4","0","Saint Mary","","","1/20/1955","1/20/1955","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","209728","2267","5777","8557","17264","0","0","13392","43057","57085","46757","5403","221"
"35154","15731","2916534","0","M.Y. SAFRA BANK, FSB","New York","NY","10022","6/30/2019","11/18/2019","SA","499 Park Avenue","","1","0","0","8","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","6/5/2000","6/5/2000","3/31/2014","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","224160","0","1400","11409","46426","12003","14600","43703","14194","30893","46437","3005","0"
"9797","0","666059","5115280","M1 Bank","Macks Creek","MO","65786","6/30/2019","11/18/2019","NM","41 State Rd W","M1 BANCSHARES, INC.","3","0","0","4","0","Camden","","","5/15/1911","1/1/1934","1/1/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","142410","178","594","3520","76","246","965","28966","52965","44336","5881","3921","678"
"10667","0","139553","2052777","Mabrey Bank","Bixby","OK","74008","6/30/2019","11/18/2019","SM","14821 South Memorial","MABREY BANCORPORATION, INC.","15","0","0","4","0","Tulsa","46140","Tulsa, OK","1/26/1924","1/1/1934","8/25/2018","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","https://www.mabreybank.com","876503","13583","15091","34251","43827","55964","40506","240052","65237","77465","129152","156504","3580"
"34618","16108","2634351","2634696","Macatawa Bank","Holland","MI","49424","6/30/2019","11/18/2019","NM","10753 Macatawa Dr","MACATAWA BANK CORPORATION","29","0","0","4","0","Ottawa","24340","Grand Rapids-Wyoming, MI","11/25/1997","11/25/1997","1/22/2015","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","","1345821","6941","15830","22962","46262","134075","12454","562110","31118","139096","216422","154238","4102"
"19531","9576","137205","2728577","Machias Savings Bank","Machias","ME","4654","6/30/2019","11/18/2019","SB","4 Center Street","MACHIAS BANCORP, MHC","16","0","0","4","0","Washington","","","3/5/1869","1/1/1966","12/14/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.MachiasSavings.com","1235292","7615","26064","44124","64698","73077","102134","152953","80005","216105","235616","116725","101555"
"6091","0","709639","1136577","Macon Bank and Trust Company","Lafayette","TN","37083","6/30/2019","11/18/2019","NM","609 Red Boiling Springs Rd.","MACON BANCTRUST, INC.","8","0","0","8","0","Macon","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","7/1/1919","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","","174244","5034","2502","9176","20504","11728","516","51752","26988","14231","22915","7166","1513"
"14695","15895","34555","1133062","Macon-Atlanta State Bank","Macon","MO","63552","6/30/2019","11/18/2019","SM","1513 North Missouri Street","MACON-ATLANTA BANCORP, INC.","2","0","0","2","1","Macon","","","1/1/1893","8/24/1934","11/1/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","http://www.mabank.com","157066","2403","2744","7058","5074","3051","567","17603","47108","37780","26330","3495","1890"
"32331","8152","310071","4750714","Madison Bank of Maryland","Forest Hill","MD","21050","6/30/2019","11/18/2019","SA","1920 Rock Spring Road","MB BANCORP, INC.","3","0","0","5","0","Harford","12580","Baltimore-Columbia-Towson, MD","5/4/1904","6/6/1985","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","98553","140","958","2039","5642","26714","40164","3824","0","1726","2207","12042","2643"
