cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnreres,LNRERSFM,LNRERSF2,lnreloc,LNRERSF1
"29846","4194","980773","0","Eaton Federal Savings Bank","Charlotte","MI","48813","6/30/2019","11/18/2019","SA","236 South Cochran Avenue","","7","0","0","5","0","Eaton","29620","Lansing-East Lansing, MI","1/1/1936","3/27/1937","7/1/2018","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","","162760","153155","2294","7311","5501"
"58049","0","3347603","1098620","Eclipse Bank, Inc.","Louisville","KY","40207","6/30/2019","11/18/2019","NM","3827 Shelbyville Road","GERMAN AMERICAN BANCORP, INC.","1","0","0","4","0","Jefferson","31140","Louisville-Jefferson County, KY-IN","10/14/2005","10/14/2005","3/30/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","18981","11768","262","6951","4843"
"29981","4476","633677","4553951","Edgewater  Bank","Saint Joseph","MI","49085","6/30/2019","11/18/2019","NM","321 Main Street","EDGEWATER BANCORP, INC.","5","0","0","4","0","Berrien","35660","Niles-Benton Harbor, MI","1/1/1910","7/5/1938","6/26/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.edgewaterbank.com","59331","55121","332","3878","36794"
"34489","0","2594419","2591258","Edison National Bank","Fort Myers","FL","33907","6/30/2019","11/18/2019","N","13000 S. Cleveland Avenue","EDISON BANCSHARES, INC.","4","0","0","8","1","Lee","15980","Cape Coral-Fort Myers, FL","8/29/1997","8/29/1997","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.edisonnationalbank.com","88460","74147","1190","13123","18159"
"9678","11668","845247","1098031","Edmonton State Bank","Glasgow","KY","42141","6/30/2019","11/18/2019","NM","909 West Main Street","EDMONTON BANCSHARES, INC.","13","0","0","4","1","Barren","","","3/17/1899","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","","107494","97866","2395","7233","83687"
"28390","1485","3529315","0","Edward Jones Trust Company","Saint Louis","MO","63131","6/30/2019","11/18/2019","SA","12555 Manchester Road","","1","0","0","7","0","Saint Louis City","41180","St. Louis, MO-IL","1/1/1896","9/17/1938","7/21/2011","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","www.edwardjones.com","0","0","0","0","0"
"57734","0","3320576","0","EH National Bank","Beverly Hills","CA","90211","6/30/2019","11/18/2019","N","8484 Wilshire Blvd. Ste 100","","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","2/1/2005","2/1/2005","6/10/2019","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","6966","2258","508","4200","958"
"30953","6164","961576","0","El Dorado Savings Bank, F.S.B.","Placerville","CA","95667","6/30/2019","11/18/2019","SA","4040 El Dorado Road","","35","0","1","5","0","El Dorado","40900","Sacramento-Roseville-Arden-Arcade, CA","1/1/1956","12/16/1957","7/21/2011","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","0","http://www.eldoradosavingsbank.com","578178","526003","1784","50391","139"
"29065","2849","615776","0","Elberton Federal Savings and Loan Association","Elberton","GA","30635","6/30/2019","11/18/2019","SA","6 Church Street","","1","0","0","5","0","Elbert","","","1/1/1922","11/19/1951","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","17724","17724","0","0","0"
"12985","11053","282824","3631012","Elderton State Bank","Elderton","PA","15736","6/30/2019","11/18/2019","NM","143 Main Street","KEYSTRONG FINANCIAL, INC.","3","0","0","2","0","Armstrong","38300","Pittsburgh, PA","10/1/1919","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","","40536","31706","5337","3493","27447"
"10489","0","609645","1206210","Elgin State Bank","Elgin","IA","52141","6/30/2019","11/18/2019","NM","241 Center","KELLONTO BANKSHARES CORP.","2","0","0","2","1","Fayette","","","10/25/1930","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.elginstatebankia.com","3330","3166","164","0","2792"
"29904","4307","17978","0","Elizabethton Federal Savings Bank","Elizabethton","TN","37643","6/30/2019","11/18/2019","SA","112-114 N. Sycamore Street","","5","0","0","8","0","Carter","27740","Johnson City, TN","6/15/1937","6/15/1937","5/11/2015","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","","103737","100289","1939","1509","5257"
"15259","15817","679451","1248041","Elk State Bank","Clyde","KS","66938","6/30/2019","11/18/2019","NM","328 Washington Street","ELKCORP, INC.","3","0","0","2","0","Cloud","","","1/1/1896","8/21/1935","6/4/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","","10421","10421","0","0","1679"
"16553","0","439356","1891979","Elkhorn Valley Bank & Trust","Norfolk","NE","68702","6/30/2019","11/18/2019","NM","800 West Benjamin Avenue","FEO INVESTMENTS, INC.","10","0","0","2","0","Madison","","","7/6/1943","3/18/1947","2/7/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","","47995","43707","2105","2183","6224"
"12162","9733","998648","1099841","Elkton Bank & Trust Company","Elkton","KY","42220","6/30/2019","11/18/2019","NM","30 Public Square","ELKTON BANCORP, INC.","4","0","0","8","0","Todd","","","1/1/1866","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","","22084","21986","98","0","464"
"16001","7788","861304","0","Elmira Savings Bank","Elmira","NY","14901","6/30/2019","11/18/2019","SM","333 East Water Street","","13","0","0","5","0","Chemung","21300","Elmira, NY","1/1/1869","7/1/1943","3/21/2012","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","311820","307898","0","3922","114562"
"10185","0","13251","1128947","Elysian Bank","Elysian","MN","56028","6/30/2019","11/18/2019","NM","121 East Main Street","ELYSIAN, INC.","1","0","0","8","1","Le Sueur","33460","Minneapolis-St. Paul-Bloomington, MN-WI","9/24/1907","1/1/1934","4/1/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","10649","10394","255","0","0"
"57228","0","3068579","3806511","Embassy Bank for the Lehigh Valley","Bethlehem","PA","18017","6/30/2019","11/18/2019","NM","100 Gateway Drive","EMBASSY BANCORP, INC","9","0","0","4","0","Northampton","10900","Allentown-Bethlehem-Easton, PA-NJ","11/6/2001","11/6/2001","11/11/2008","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.embassybank.com","595240","544625","26245","24370","0"
"58413","0","3482045","3482054","Embassy National Bank","Lawrenceville","GA","30043","6/30/2019","11/18/2019","N","1817 North Brown Road","EMBASSY BANCSHARES, INC.","1","0","0","4","0","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","3/5/2007","3/5/2007","1/1/2013","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","2909","2909","0","0","2806"
"14944","0","12656","0","Emerald Bank","Burden","KS","67019","6/30/2019","11/18/2019","SM","333 N Main Street","","2","0","0","8","0","Cowley","","","10/1/1884","12/21/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","6045","6045","0","0","453"
"12054","7209","137915","3212091","Emigrant Bank","New York","NY","10017","6/30/2019","11/18/2019","SB","5 East 42nd Street","NEW YORK PRIVATE BANK & TRUST CORPORATION","5","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/30/1850","1/1/1934","11/23/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.emigrant.com","1005510","997698","0","7812","935911"
"57834","0","3268173","3212091","Emigrant Mercantile Bank","New York","NY","10017","6/30/2019","11/18/2019","NM","6 East 43rd Street","NEW YORK PRIVATE BANK & TRUST CORPORATION","1","0","0","7","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","7/9/2004","7/9/2004","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","0","0","0","0","0"
"58632","0","3706013","4504533","Empire National Bank","Islandia","NY","11749","6/30/2019","11/18/2019","N","1707 Veterans Highway","EMPIRE BANCORP, INC.","4","0","0","4","0","Suffolk","35620","New York-Newark-Jersey City, NY-NJ-PA","2/25/2008","2/25/2008","2/28/2008","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.empirenb.com","92108","84127","65","7916","83101"
"57672","0","3277241","3439610","Empire State Bank","Newburgh","NY","12550","6/30/2019","11/18/2019","SM","68 North Plank Road","ES BANCSHARES, INC.","6","0","0","4","0","Orange","39100","                                        39100","6/28/2004","6/28/2004","3/9/2009","Stock","0","0","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","160611","157732","375","2504","135691"
"4789","14120","65858","1135824","Emprise Bank","Wichita","KS","67202","6/30/2019","11/18/2019","NM","257 North Broadway Street","EMPRISE FINANCIAL CORPORATION","38","0","0","4","1","Sedgwick","48620","Wichita, KS","5/21/1910","1/1/1934","3/26/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","366766","323617","1099","42050","37521"
"34562","0","2594240","2777016","ENCORE BANK","Little Rock","AR","72211","6/30/2019","11/18/2019","SM","12224 Chenal Parkway","CAPITAL BANCSHARES, INC","1","0","0","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","9/8/1997","9/8/1997","5/6/2019","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","","34779","32999","866","914","0"
"59099","0","5192496","0","Endeavor Bank","San Diego","CA","92101","6/30/2019","11/18/2019","NM","750 B Street Suite 3110","","1","0","0","4","0","San Diego","41740","San Diego-Carlsbad, CA","1/22/2018","1/22/2018","8/10/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","13066","7759","3201","2106","5385"
"57293","0","3121072","0","EnerBank USA","Salt Lake City","UT","84106","6/30/2019","11/18/2019","NM","1245 E Brickyard Rd, # 600","","1","0","0","6","0","Salt Lake","41620","Salt Lake City, UT","6/3/2002","6/3/2002","3/2/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","http://www.enerbank.com","0","0","0","0","0"
"27205","0","1186965","1081239","Englewood Bank & Trust","Englewood","FL","34223","6/30/2019","11/18/2019","NM","1111 South Mccall Road","CREWS BANKING CORPORATION","4","0","0","4","1","Charlotte","39460","Punta Gorda, FL","4/4/1988","4/4/1988","1/1/2012","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","www.englewoodbankandtrust.com","78970","70065","580","8325","51363"
"13000","0","435059","1131956","Ennis State Bank","Ennis","TX","75119","6/30/2019","11/18/2019","NM","815 West Ennis Avenue","ENNIS BANCSHARES, INC.","4","0","0","4","1","Ellis","19100","Dallas-Fort Worth-Arlington, TX","1/1/1933","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","24402","22934","1334","134","466"
"31445","6981","239275","2427665","Entegra Bank","Franklin","NC","28734","6/30/2019","11/18/2019","NM","50 West Main Street","ENTEGRA FINANCIAL CORP.","18","0","1","4","0","Macon","","","1/1/1922","12/14/1964","10/1/2017","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","http://www.entegrabank.com","389619","340018","3061","46540","58863"
"34786","0","2730431","2730048","Enterprise Bank","Allison Park","PA","15101","6/30/2019","11/18/2019","NM","4091 Mount Royal Boulvard","SEED MONEY LIMITED PARTNERSHIP","1","0","0","4","0","Allegheny","38300","Pittsburgh, PA","10/23/1998","10/23/1998","11/27/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","","14827","12442","907","1478","12239"
"33380","0","1836701","3306356","Enterprise Bank","Omaha","NE","68144","6/30/2019","11/18/2019","SM","12800 West Center Road","ENTERPRISE HOLDING COMPANY","3","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","4/10/1991","4/10/1991","12/16/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","","21245","15105","2160","3980","645"
"27237","12507","1190476","2303910","Enterprise Bank & Trust","Clayton","MO","63105","6/30/2019","11/18/2019","NM","150 North Meramec","ENTERPRISE FINANCIAL SERVICES CORP","36","0","1","4","0","Saint Louis","41180","St. Louis, MO-IL","5/9/1988","5/9/1988","3/8/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","http://www.enterprisebank.com","410637","308138","25831","76668","78040"
"27408","11801","1356768","2461016","Enterprise Bank and Trust Company","Lowell","MA","1852","6/30/2019","11/18/2019","NM","222 Merrimack Street","ENTERPRISE BANCORP, INC.","24","0","1","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/3/1989","1/3/1989","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.enterprisebanking.com","507924","365651","35824","106449","307218"
"11539","0","457426","0","Enterprise Bank of South Carolina","Ehrhardt","SC","29081","6/30/2019","11/18/2019","NM","13497 Broxton Bridge Road","","12","0","0","4","0","Bamberg","","","1/1/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","66189","61114","549","4526","20709"
