cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scage,idscas,scaot,scspn,scfmn,scgnm,sccol,SCCPTG,SCCMOG
"5033","11837","47247","3726196","The Dart Bank","Mason","MI","48854","6/30/2019","11/18/2019","NM","368 South Park Street","DART FINANCIAL CORPORATION","4","0","0","4","0","Ingham","29620","Lansing-East Lansing, MI","5/1/1925","1/1/1934","7/1/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.dart.bank","23324","1868","","","20383","287","786","0","0"
"7025","15381","236603","2263331","The Delaware National Bank of Delhi","Delhi","NY","13753","6/30/2019","11/18/2019","N","124 Main Street","DELHI BANK CORP.","4","0","0","8","0","Delaware","","","1/1/1839","1/1/1934","11/15/2018","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","69952","26416","","","27328","","13778","0","2430"
"15305","12004","869551","1058286","The Denison State Bank","Holton","KS","66436","6/30/2019","11/18/2019","NM","421 New York Avenue","DENISON BANCSHARES, INC. OF HOLTON","5","0","0","2","1","Jackson","45820","Topeka, KS","1/1/1901","11/19/1935","2/22/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","54551","14315","","","5155","","35081","0","0"
"12425","0","981350","0","The Dickinson County Bank","Enterprise","KS","67441","6/30/2019","11/18/2019","NM","101 South Factory Street","","1","0","0","8","1","Dickinson","","","6/2/1894","1/1/1934","2/6/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","http://www.dcbonline.net","8","0","","","8","0","0","0","0"
"9888","10146","56717","2065432","The Dime Bank","Honesdale","PA","18431","6/30/2019","11/18/2019","NM","820-822 Church Street","DIMECO, INC","8","0","0","4","0","Wayne","","","1/1/1906","1/1/1934","7/9/2015","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","","82796","11936","","","18595","","37578","0","14687"
"17959","0","63050","0","The Dolores State Bank","Dolores","CO","81323","6/30/2019","11/18/2019","NM","101 South 6th Street","","4","0","0","8","0","Montezuma","","","1/5/1959","1/5/1959","8/4/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","","36454","17842","","","11316","","0","0","7296"
"11891","0","753856","2126669","The Donley County State Bank","Clarendon","TX","79226","6/30/2019","11/18/2019","NM","201 South Kearney","DONLEY COUNTY BANCSHARES, INC.","1","0","0","2","1","Donley","","","1/1/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","","8397","8000","","","397","","0","0","0"
"16125","0","775054","3189894","The Eastern Colorado Bank","Cheyenne Wells","CO","80810","6/30/2019","11/18/2019","NM","10 South First Street","WEED INVESTMENT GROUP, INC.","6","0","1","2","1","Cheyenne","","","3/1/1944","3/1/1944","7/13/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","","19126","942","","","10211","","4515","310","3148"
"13206","0","804815","4315999","The Edon State Bank Company of Edon, Ohio","Edon","OH","43518","6/30/2019","11/18/2019","NM","101 North Michigan Street","EDON BANCORP, INC.","1","0","0","2","1","Williams","","","1/1/1893","1/1/1934","2/1/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.edonstatebank.com","31251","31251","","","0","","0","0","0"
"13104","13385","16748","3105568","The Elberfeld State Bank","Elberfeld","IN","47613","6/30/2019","11/18/2019","SM","55 Main Street","ESB BANCORP, INC.","3","0","0","2","0","Warrick","21780","Evansville, IN-KY","7/25/1905","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","","9188","960","","","1411","","3814","270","2733"
"7493","0","425911","1116681","The Ephrata National Bank","Ephrata","PA","17522","6/30/2019","11/18/2019","N","31 East Main Street","HIBSHMAN TRUST FOR EPHRATA NATIONAL BANK STOCK, THE","17","0","0","2","0","Lancaster","29540","Lancaster, PA","3/17/1881","1/1/1934","11/5/2012","Stock","0","1","OCC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","","132031","31031","","","42371","3721","54908","0","0"
"28614","1954","336576","5301533","The Equitable Bank, S.S.B.","Wauwatosa","WI","53226","6/30/2019","11/18/2019","SB","2290 North Mayfair Road","TEB MHC","6","0","0","4","0","Milwaukee","33340","Milwaukee-Waukesha-West Allis, WI","1/1/1927","9/25/1936","4/30/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","","1106","0","","","0","","1106","0","0"
"29966","4440","910079","0","The Equitable Savings and Loan Company","Cadiz","OH","43907","6/30/2019","11/18/2019","NM","114 South Main Street","","1","0","0","5","0","Harrison","","","1/1/1898","1/16/1941","1/1/2019","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","3025","2998","","","27","","0","0","0"
"12611","10962","372538","1133165","The Evangeline Bank and Trust Company","Ville Platte","LA","70586","6/30/2019","11/18/2019","NM","497 West Main Street","EVANGELINE BANCSHARES, INC.","8","0","0","4","0","Evangeline","","","1/1/1933","1/1/1934","11/6/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","45435","3000","","","40751","","1684","0","0"
"10672","13904","316859","1133129","The Exchange Bank","Skiatook","OK","74070","6/30/2019","11/18/2019","NM","300 West Rogers","SKIATOOK BANCSHARES, INC.","3","0","0","4","0","Osage","46140","Tulsa, OK","6/1/1930","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","21101","21099","","","2","","0","0","0"
