cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"5280","9287","220059","1133660","WNB FINANCIAL, N.A.","Winona","MN","55987","6/30/2019","11/18/2019","N","204 Main Street","WNB HOLDING COMPANY","5","0","0","4","1","Winona","","","1/1/1874","1/1/1934","2/1/2019","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","39072","18093","10389","19738","20680","6357","13692","1839","7144","2953","1757"
"34240","0","2505424","3180257","Wolf River Community Bank","Hortonville","WI","54944","6/30/2019","11/18/2019","NM","309 East Main Street","WOLF RIVER BANCORP, INC.","5","0","0","4","0","Outagamie","11540","Appleton, WI","10/16/1996","10/16/1996","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","","15026","9999","5637","14400","4712","275","7508","2648","3545","1000","315"
"1060","12938","671558","1058558","Wood & Huston Bank","Marshall","MO","65340","6/30/2019","11/18/2019","NM","27 East North Street","WOOD & HUSTON BANCORPORATION, INC.","11","0","0","4","1","Saline","","","2/12/1874","1/1/1934","6/9/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","","100300","61891","26301","86157","44721","5011","37648","3881","23660","6337","3770"
"10011","0","93244","2961347","Woodford State Bank","Monroe","WI","53566","6/30/2019","11/18/2019","NM","403 West 8th Street","WOODFORD BANCSHARES, INC.","4","0","0","4","1","Green","31540","Madison, WI","1/1/1915","1/1/1934","5/1/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","","24876","11725","4237","14833","13175","4356","14528","1000","4047","6548","2933"
"23220","0","412751","4199229","Woodforest National Bank","The Woodlands","TX","77380","6/30/2019","11/18/2019","N","1330 Lake Robbins Drive","WOODFOREST FINANCIAL GROUP EMPLOYEE STOCK OWNERSHIP PLAN (WITH 401(K) PROVISIONS) (AMENDED AND","760","0","1","4","1","Montgomery","26420","Houston-The Woodlands-Sugar Land, TX","9/5/1980","9/5/1980","6/11/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","0","www.woodforest.com","96241","36054","23026","71555","22655","15059","16736","1638","9368","2124","3606"
"8863","14682","788652","1126327","Woodland Bank","Deer River","MN","56636","6/30/2019","11/18/2019","NM","217 Main Avenue East","REMER BANCORPORATION, INC.","5","0","0","4","0","Itasca","","","1/1/1920","1/1/1934","4/23/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","8535","12169","1894","7219","8129","3462","7437","622","3300","2963","552"
"33136","10315","1479470","3014950","Woodlands Bank","Williamsport","PA","17701","6/30/2019","11/18/2019","SM","2450 East Third Street","WOODLANDS FINANCIAL SERVICES COMPANY","8","0","0","4","0","Lycoming","48700","Williamsport, PA","10/10/1990","10/10/1990","3/31/2006","Stock","0","1","FED","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","","41796","22802","7482","20283","27728","9105","8107","1065","2040","3456","1546"
"1417","0","980951","2359823","Woodlands National Bank","Hinckley","MN","55037","6/30/2019","11/18/2019","N","122 Main Street","MILLE LACS BANCORPORATION, INC.","7","0","0","4","0","Pine","","","10/1/1908","1/1/1934","5/7/2010","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.woodlandsnationalbank.com","7459","3151","1764","5579","2271","996","3359","373","2690","296","0"
"29238","3150","661474","0","Woodruff Federal Savings and Loan Association","Woodruff","SC","29388","6/30/2019","11/18/2019","SA","247 North Main Street","","1","0","0","5","0","Spartanburg","43900","Spartanburg, SC","12/14/1934","12/14/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","22910","15056","7054","13816","17095","0","7275","319","2643","4313","0"
"5873","12844","406022","0","Woodsboro Bank","Woodsboro","MD","21798","6/30/2019","11/18/2019","NM","5 North Main Street","","7","0","0","4","0","Frederick","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","5/1/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","","25393","12843","2249","9866","14599","11522","13488","3055","2569","3240","4624"
"32292","8103","97279","0","Woodsfield Savings Bank","Woodsfield","OH","43793","6/30/2019","11/18/2019","NM","600 Lewisville Road","","2","0","0","8","0","Monroe","","","3/12/1887","3/26/1985","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","10954","5191","1257","5103","5814","3971","757","0","0","757","0"
"18031","10227","477303","2637820","Woodsville Guaranty Savings Bank","Woodsville","NH","3785","6/30/2019","11/18/2019","SB","63 Central Street","GUARANTY BANCORP, INC.","9","0","0","4","0","Grafton","","","1/1/1889","7/2/1959","5/3/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","","46359","33379","13470","36334","22147","7787","6657","2380","2323","1702","251"
"5335","13592","833749","1020582","WOODTRUST BANK","Wisconsin Rapids","WI","54494","6/30/2019","11/18/2019","SM","181 Second Street South","WOODTRUST FINANCIAL CORPORATION","7","0","0","4","1","Wood","","","8/11/1891","1/1/1934","4/22/2014","Stock","0","1","FED","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","","18799","5399","4527","11256","6878","1536","4986","252","4734","0","0"
"24920","0","384018","5309306","Woori America Bank","New York","NY","10001","6/30/2019","11/18/2019","NM","330 Fifth Avenue","WOORI FINANCIAL GROUP INC.","19","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","1/27/1984","1/27/1984","1/1/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","261422","174961","122022","276779","36913","670","237188","73160","150509","13519","0"
"29426","3435","258874","0","Worthington Federal Savings Bank, FSB","Worthington","MN","56187","6/30/2019","11/18/2019","SA","418 Eleventh Street","","2","0","0","5","0","Nobles","","","5/3/1935","5/3/1935","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","www.worthingtonfederalsavings.com","17116","6566","3003","8656","7247","4775","644","0","309","0","335"
"57414","0","3150205","0","Worthington National Bank","Arlington","TX","76010","6/30/2019","11/18/2019","N","200 West Main Street","","4","0","0","4","0","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","11/21/2002","11/21/2002","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","6524","22181","7592","19549","1564","0","35205","8770","23413","3022","0"
"22447","0","541754","3685891","Wray State Bank","Wray","CO","80758","6/30/2019","11/18/2019","NM","300 Clay Street","HOTC INVESTMENT CO.","3","0","0","2","0","Yuma","","","4/11/1977","4/11/1977","11/13/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","","17079","19734","6452","17781","11391","1189","10784","2922","2962","4624","277"
"26576","0","948278","0","Wrentham Co-operative Bank","Wrentham","MA","2093","6/30/2019","11/18/2019","SB","102 South Street","","2","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1901","3/3/1986","6/12/2018","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","","13597","8690","4371","11740","5552","624","4568","489","3056","1022","0"
