cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2019","11/18/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","2613","369","710","1534","1727","749","603","375","8095","471","2689","4935","10812","3729","3923","3160","29","14","7","8","50","42","6","2","48","11","19","18","204","159","35","10"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2019","11/18/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","22","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","100205","782","7118","92305","32996","2660","4050","26286","0","0","0","0","45","45","0","0","323","26","74","223","315","111","85","119","0","0","0","0","1","1","0","0"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2019","11/18/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","5109","100","873","4136","6500","1056","2719","2725","0","0","0","0","0","0","0","0","19","1","6","12","56","28","20","8","0","0","0","0","0","0","0","0"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2019","11/18/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","3787","106","131","3550","2849","509","554","1786","0","0","0","0","0","0","0","0","12","2","1","9","15","7","4","4","0","0","0","0","0","0","0","0"
"31410","6903","535575","3834710","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","6/30/2019","11/18/2019","SB","300 Robertson Boulevard","FIRST CAROLINA BANCSHARES, M.H.C.","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","2693","2693","0","0","135","135","0","0","0","0","0","0","0","0","0","0","17","17","0","0","6","6","0","0","0","0","0","0","0","0","0","0"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2019","11/18/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","355","35","83","237","1301","215","264","822","0","0","0","0","4538","978","890","2670","4","2","1","1","18","13","3","2","0","0","0","0","60","37","10","13"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2019","11/18/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","22996","1641","3876","17479","4641","1544","1666","1431","257","0","0","257","0","0","0","0","98","21","26","51","77","58","14","5","1","0","0","1","0","0","0","0"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2019","11/18/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","55995","639","6815","48541","41102","1592","5500","34010","57","57","0","0","419","101","318","0","157","14","49","94","223","66","54","103","2","2","0","0","7","4","3","0"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2019","11/18/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","191599","9639","38765","143195","335551","32773","57589","245189","24267","2539","9756","11972","15626","2766","4940","7920","1012","231","354","427","3224","1681","669","874","215","65","98","52","221","112","68","41"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2019","11/18/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","52498","3023","11545","37930","50529","7276","11258","31995","0","0","0","0","0","0","0","0","254","64","90","100","558","296","137","125","0","0","0","0","0","0","0","0"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2019","11/18/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","784","568","216","0","311","164","147","0","600","113","165","322","1567","381","547","639","23","21","2","0","10","8","2","0","5","3","1","1","22","16","4","2"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2019","11/18/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","44326","2357","8806","33163","43955","9197","9436","25322","665","55","319","291","497","112","74","311","218","55","73","90","846","659","95","92","6","3","2","1","9","7","1","1"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","6/30/2019","11/18/2019","NM","44 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","24230","1332","4427","18471","23453","2995","5653","14805","897","268","239","390","37","37","0","0","121","35","35","51","200","112","47","41","11","6","3","2","6","6","0","0"
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","6/30/2019","11/18/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","16758","815","3286","12657","10515","3597","2813","4105","2224","0","553","1671","852","40","226","586","65","20","21","24","143","115","19","9","7","0","3","4","5","2","1","2"
"9751","0","340256","3304352","21st Century Bank","Loretto","MN","55357","6/30/2019","11/18/2019","NM","699 North Medina Street","DOLPHIN FAMILY MANAGEMENT CO.","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","95849","931","13474","81444","51543","4329","12230","34984","2821","42","437","2342","20","20","0","0","318","26","97","195","392","149","119","124","9","1","2","6","1","1","0","0"
