cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2019","11/18/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","1290","220","1070","6","36","0","31","","5","913","556","136","221","187","0","3","184","0","184","0","184","0","0","0","184"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2019","11/18/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","22","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","28468","5418","23050","700","3881","0","447","0","3434","16505","10239","2478","3788","9726","0","2648","7078","0","7078","0","7078","461","1700","565","7078"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2019","11/18/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","2248","668","1580","0","101","0","34","","67","1036","563","127","346","645","0","4","641","0","641","0","641","-1","600","0","641"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2019","11/18/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","908","322","586","0","102","0","3","","99","524","250","110","164","164","0","0","164","0","164","0","164","0","420","0","164"
"31410","6903","535575","3834710","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","6/30/2019","11/18/2019","SB","300 Robertson Boulevard","FIRST CAROLINA BANCSHARES, M.H.C.","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","2121","279","1842","-25","453","0","212","","241","2101","1224","196","681","219","0","80","139","0","139","0","139","2","0","0","139"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2019","11/18/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","61705","7441","54264","12064","9040","0","18","0","9022","44942","16350","5622","22970","6298","0","2026","4272","0","4272","0","4272","12640","0","0","4272"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2019","11/18/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","3818","1069","2749","72","2150","0","282","0","1868","4462","2631","520","1311","365","0","0","365","0","365","0","365","13","184","9","365"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2019","11/18/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","44547","9106","35441","1660","9168","0","1133","0","8035","30233","16892","3273","10068","12716","32","2766","9982","0","9982","0","9982","1670","1279","0","9956.72"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2019","11/18/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","140658","26366","114292","9165","51594","10441","5283","0","35870","94465","47132","8938","38395","62256","0","14338","47918","0","47886","32","47918","4723","23104","0","47918"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2019","11/18/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","6537","781","5756","195","697","0","100","","597","4149","2411","428","1310","2109","0","446","1663","0","1663","0","1663","326","120","28","1663"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2019","11/18/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","460","55","405","0","37","0","25","","12","302","123","37","142","140","0","0","140","0","140","0","140","8","182","0","140"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2019","11/18/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","20517","6189","14328","154","2688","336","971","0","1381","10743","6170","1569","3004","6119","214","786","5547","0","5547","0","5547","327","1937","0","5358.68"
