cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"25752","0","572655","2475590","Community Bank","Longview","TX","75601","6/30/2019","11/18/2019","NM","101 Community Boulevard","EAST TEXAS BANCORP, INC.","6","0","0","4","1","Harrison","30980","Longview, TX","10/15/1984","10/15/1984","9/15/2019","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","WWW.CBANKTEXAS.COM","22729","0","2757","0","0","0","0","888","0","0","24597"
"17445","12176","779360","2247612","Community Bank","Joseph","OR","97846","6/30/2019","11/18/2019","NM","609 North Main Street","COMMUNITY BANCSHARES, INC.","14","0","1","2","1","Wallowa","","","6/1/1955","6/1/1955","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","","37563","0","3070","0","0","0","0","1150","3222","0","42705"
"10791","13564","430344","1975468","Community Bank","Winslow","IL","61089","6/30/2019","11/18/2019","NM","233 Carver Street","STATELINE COMMUNITY BANCSHARES, INC.","4","0","0","2","1","Stephenson","","","10/15/1915","1/1/1934","6/30/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","","27852","0","1243","0","0","0","0","519","2420","0","30997"
"7848","9710","371924","3333718","Community Bank","Carmichaels","PA","15320","6/30/2019","11/18/2019","NM","100 Market Street","CB FINANCIAL SERVICES, INC.","26","0","1","4","0","Greene","","","7/1/1901","1/1/1934","2/25/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.communitybank.tv","134220","0","5798","0","0","0","0","2608","4410","0","141820"
"8975","14382","938550","2411619","Community Bank","Bristow","OK","74010","6/30/2019","11/18/2019","NM","104 South Main Street","SOONER SOUTHWEST BANKSHARES, INC.","2","0","0","8","0","Creek","46140","Tulsa, OK","3/17/1924","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","","7116","0","887","0","0","0","0","0","55","0","8058"
"14649","16093","675042","1207682","Community Bank","Dunlap","IA","51529","6/30/2019","11/18/2019","NM","601 Iowa Avenue","DUNLAP IOWA HOLDING CO.","7","0","0","2","1","Harrison","36540","Omaha-Council Bluffs, NE-IA","2/23/1926","8/9/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.communitybankiowa.com","12402","0","270","0","0","0","0","435","99","0","12336"
"1687","0","276953","0","Community Bank","Avon","SD","57315","6/30/2019","11/18/2019","NM","118 N Main St","","1","0","0","2","0","Bon Homme","","","1/1/1914","1/1/1934","5/27/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","8113","0","151","0","0","0","0","75","237","0","8425"
"25750","11911","250850","1249570","Community Bank","Alva","OK","73717","6/30/2019","11/18/2019","NM","1729 College Boulevard","COMMUNITY BANCSHARES OF ALVA, INC.","1","0","0","2","1","Woods","","","7/16/1984","7/16/1984","6/14/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","","11412","0","683","0","0","0","0","169","1496","0","13422"
"34020","0","2304636","2254704","Community Bank","Topeka","KS","66614","6/30/2019","11/18/2019","SM","5431 Southwest 29th Street","COMMUNITY FINANCIAL CORPORATION","2","0","0","4","0","Shawnee","45820","Topeka, KS","5/22/1995","5/22/1995","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.communitybanktopeka.com","9530","0","671","0","0","0","0","537","57","0","9721"
"31272","6646","361279","2613141","Community Bank","Lexington","TN","38351","6/30/2019","11/18/2019","SM","19 Natchez Trace Drive","COMMUNITY NATIONAL CORPORATION","3","0","0","4","0","Henderson","","","8/4/1961","8/4/1961","3/31/2006","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","","14461","0","676","0","0","0","0","0","240","0","15377"
