cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2019","11/18/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","0","0","0","0","","0","","0","0","0","","0","0","0",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2019","11/18/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","22","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","0.101193801495517","2.22831847240509E-02","0","3.99949158462976E-02","0","0","0","0","0.293587874871827","0","","0","0","0",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2019","11/18/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","-2.52284212798202E-03","0","0","0","0","0","0","0","-1.44634075788256E-02","0","","0","0","0",""
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2019","11/18/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","0","0","0","0","0","0","0","0","0","0","","0","","0",""
"31410","6903","535575","3834710","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","6/30/2019","11/18/2019","SB","300 Robertson Boulevard","FIRST CAROLINA BANCSHARES, M.H.C.","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","5.25819927444737E-03","0","0","0","","0","0","0","-7.69230769230769","0","","0","0","0",""
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2019","11/18/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","4.9670273282582","0","0","0","","0","","0","0","5.40792660487646","5.41638247408977","0","0","0","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2019","11/18/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","0.018620950990588","0","0","0","0","0","0","0","0","2.12765957446809","","2.12765957446809","0","5.71014429095381",""
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2019","11/18/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","0.245683135824811","0","0","0","0","0","0","0","2.79987273305759","5.97637248088951E-02","0","6.01909319351493E-02","-1.88383045525903","6.45341565085871E-02",""
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2019","11/18/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","0.190051872934448","-5.82863145766618E-03","0","-1.76522595265022E-02","0","6.48378397523065E-03","3.34524612648376E-03","7.9814334830127E-03","0.286729043564827","0.409551321900026","","0.409551321900026","0.285990087728364","0.493322172635026","0"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2019","11/18/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","0.321559266529231","0.333239197966676","0","0.562351749686842","0","-0.273176516621787","-2.31794565112832E-02","-0.405804230201672","0.305613012081029","0.824175824175824","60","0","0","0",""
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2019","11/18/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","0.17036990500813","0","","0","","0","","0","0","0.814527090661956","","0.814527090661956","0.576701268742791","2.6049581035905",""
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2019","11/18/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","0.119412505808807","0.132148671072585","0","0.447309466867074","0","2.60246267324966E-02","0.109161500194368","2.05951466665547E-02","-3.75743211784456E-02","0.425050560449731","1.60523186682521","0.27122321670735","0.132785764185761","0.424374435357572",""
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","6/30/2019","11/18/2019","NM","44 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","4.88748412585885E-02","8.06686516981054E-02","0","3.57918956921897E-02","0","0.189314707509806","0","0.195373346785779","-8.24219008335013E-02","0.449663033764073","","0.449663033764073","0","0.725513905683192",""
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","6/30/2019","11/18/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"9751","0","340256","3304352","21st Century Bank","Loretto","MN","55357","6/30/2019","11/18/2019","NM","699 North Medina Street","DOLPHIN FAMILY MANAGEMENT CO.","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","1.77216081561929E-02","0","0","0","0","0","0","0","8.91839667046524E-02","0","","0","0","0",""
"16910","0","449430","3438051","22nd State Bank","Louisville","AL","36048","6/30/2019","11/18/2019","NM","1920 Main Street","FEB BANCSHARES, INC.","5","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","10/1/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","0.714622189442911","0.867964533513891","0","2.49008782006151","0","-1.10209019671483E-02","0","-1.17757889778615E-02","-1.89376006060032E-02","1.00885437859615","","1.00885437859615","0","1.08972030512169",""
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","6/30/2019","11/18/2019","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","6/30/2019","11/18/2019","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","8.09172322286003E-02","0.120536115858595","0","0","0","0.316510486063264","1.28938215648073","4.82145547687208E-02","-1.65269542228158E-02","0","","0","0","0",""
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","6/30/2019","11/18/2019","SA","6 Bowery","","6","0","1","5","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","7.00943578703189E-03","6.99085596040379E-03","","0","0","0","0","0","0","0","0","0","","0",""
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","6/30/2019","11/18/2019","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","0","0","0","","","0","0","0","","0","","0","","0",""
