cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,p3asset,p3re,p3renus,IDP3REDM,p3recons,P3recnfm,p3recnot,p3reag,p3reres,p3remult,p3renres,P3RENROW,P3RENROT,p3refor,p3dep,p3depnus,p3ag,p3ci,p3cinus,p3con,p3crcd,P3AUTO,P3CONOTH,p3fg,p3othln,p3ls,p3scdebt,p3agsm,P3LNSALE,P3GTYPAR,P3LTOT,p9asset,p9re,p9renus,IDP9REDM,p9recons,P9recnfm,p9recnot,p9reag,p9reres,p9remult,p9renres,P9RENROW,P9RENROT,p9refor,p9dep,p9depnus,p9ag,p9ci,p9cinus,p9con,p9crcd,P9AUTO,P9CONOTH,p9fg,p9othln,p9ls,p9scdebt,p9agsm,P9LNSALE,P9GTYPAR,P9LTOT,naasset,nare,narenus,IDNAREDM,narecons,narecnfm,narecnot,nareag,nareres,naremult,narenres,NARENROW,NARENROT,narefor,nadep,nadepnus,naag,naci,nacinus,nacon,nacrcd,NAAUTO,NACONOTH,nafg,naothln,nals,nascdebt,naagsm,NALNSALE,NAGTYPAR,NALTOT
"34457","15743","2577739","1135374","The Bank of Jackson","Jackson","TN","38305","6/30/2019","11/18/2019","SM","558 Carriage House Drive","SECURITY BANCORP OF TENNESSEE, INC.","3","0","0","7","0","Madison","27180","Jackson, TN","6/2/1997","6/2/1997","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","www.bankofjackson.com","170","0","","0","0","0","0","0","0","0","0","0","0","","0","","","143","","27","0","0","27","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","48","48","","48","0","0","0","0","48","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"15228","10258","380944","1202744","The Bank of Kaukauna","Kaukauna","WI","54130","6/30/2019","11/18/2019","NM","264 W. Wisconsin Avenue","BROGAN BANKSHARES, INC.","1","0","0","4","1","Outagamie","11540","Appleton, WI","9/1/1883","7/1/1935","1/29/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","WWW.BANKOFKAUKAUNA.COM","619","619","","619","0","0","0","0","619","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","540","468","","468","0","0","0","0","0","0","468","468","0","","0","","","72","","0","0","0","0","","0","0","0","0","0","0","0"
"11526","0","883959","2552334","The Bank of Kremlin","Kremlin","OK","73753","6/30/2019","11/18/2019","SM","102 6th Street","KREMLIN BANCSHARES, INC.","6","0","0","2","1","Garfield","21420","Enid, OK","5/1/1900","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.bankofkremlin.com","2725","2332","","2332","0","0","0","2332","0","0","0","0","0","","0","","","0","","12","0","0","12","","381","0","0","322","0","0","0","385","120","","120","0","0","0","0","120","0","0","0","0","","0","","","0","","2","0","2","0","","263","0","0","263","0","0","0","1235","950","","950","0","0","0","713","237","0","0","0","0","","0","","","0","","0","0","0","0","","285","0","0","285","0","0","0"
"9245","0","944739","1085965","The Bank of La Fayette, Georgia","La Fayette","GA","30728","6/30/2019","11/18/2019","NM","101 West Patton Street","LAFAYETTE BANKSHARES, INC.","3","0","0","5","0","Walker","16860","Chattanooga, TN-GA","7/18/1899","1/1/1934","5/8/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","1514","1345","","1345","0","0","0","0","994","0","351","113","238","","0","","","0","","169","21","28","120","","0","0","0","0","0","0","0","57","50","","50","0","0","0","0","50","0","0","0","0","","0","","","0","","7","7","0","0","","0","0","0","0","0","0","0","2973","2734","","2734","0","0","0","0","1801","0","933","345","588","","0","","","0","","239","0","76","163","","0","0","0","0","0","0","0"
"90384","12197","734613","0","The Bank of Landisburg","Landisburg","PA","17040","6/30/2019","11/18/2019","SM","100 North Carlisle Street","","4","0","0","5","0","Perry","25420","Harrisburg-Carlisle, PA","10/19/1903","4/17/1992","1/9/2009","Stock","0","0","FED","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","","4023","3779","","3779","81","0","81","1900","1611","0","187","187","0","","0","","","25","","71","0","29","42","","148","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","3751","3654","","3654","146","104","42","90","3193","0","225","225","0","","0","","","44","","0","0","0","0","","53","0","0","0","0","0","0"
"2300","0","940021","2402813","The Bank of Magnolia Company","Magnolia","OH","44643","6/30/2019","11/18/2019","NM","122 North Main Street","MAGNOLIA BANCORP, INC.","3","0","0","8","0","Stark","15940","Canton-Massillon, OH","4/19/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.bankofmagnolia.com","112","112","","112","0","0","0","0","112","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","594","567","","567","0","0","0","0","201","0","366","366","0","","0","","","27","","0","0","0","0","","0","0","0","0","0","0","0"
"9507","11657","858528","1132391","The Bank of Marion","Marion","VA","24354","6/30/2019","11/18/2019","SM","102 West Main Street","SOUTHWEST VIRGINIA BANKSHARES, INC.","16","0","1","8","0","Smyth","","","4/13/1874","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.bankofmarionva.com","7168","6687","0","6687","42","7","35","1746","4720","0","179","179","0","","0","0","","55","0","374","47","120","207","","52","0","0","0","0","0","0","1167","1077","0","1077","0","0","0","0","612","0","465","465","0","","0","0","","16","0","74","15","23","36","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"33851","13098","2123930","2263993","The Bank of Milan","Milan","TN","38358","6/30/2019","11/18/2019","NM","2011 East Van Hook Street","HOMETOWN BANCORP, INC.","2","0","0","4","1","Gibson","27180","Jackson, TN","11/12/1993","11/12/1993","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"1617","0","330855","1416439","The Bank of Missouri","Perryville","MO","63775","6/30/2019","11/18/2019","NM","916 North Kings Highway","RELIABLE COMMUNITY BANCSHARES, INC.","35","0","0","4","0","Perry","","","11/7/1891","1/1/1934","3/24/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.bankofmissouri.com","6885","5504","0","5504","242","239","3","1687","1931","399","1245","716","529","","0","0","","937","0","335","0","83","252","","109","0","0","109","0","360","0","2276","2229","0","2229","0","0","0","0","565","1272","392","0","392","","0","0","","47","0","0","0","0","0","","0","0","0","0","0","0","0","8215","6340","0","6340","48","48","0","289","2013","1123","2867","2705","162","","0","0","","1661","0","68","0","21","47","","146","0","0","146","0","1524","0"
"6180","0","849432","2722892","The Bank of Monroe","Union","WV","24983","6/30/2019","11/18/2019","SM","39 Main Street","UNION BANKSHARES, INC.","3","0","0","4","0","Monroe","","","11/3/1903","1/1/1934","6/2/2010","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","http://www.mybankofmonroe.com","412","280","","280","0","0","0","0","256","0","24","0","24","","0","","","44","","88","0","54","34","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","186","185","","185","0","0","0","0","185","0","0","0","0","","0","","","0","","1","0","0","1","","0","0","0","0","0","0","0"
"10378","10875","797140","2339544","The Bank of New Glarus","New Glarus","WI","53574","6/30/2019","11/18/2019","NM","501 First Street","BANCORP OF NEW GLARUS, INC.","6","0","0","4","0","Green","31540","Madison, WI","10/30/1893","1/1/1934","9/26/2008","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","","3113","2087","","2087","0","0","0","537","1550","0","0","0","0","","0","","","948","","78","0","38","40","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","1330","1294","","1294","0","0","0","433","296","0","565","565","0","","0","","","7","","29","0","7","22","","0","0","0","0","0","0","0"
"639","0","541101","3587146","The Bank of New York Mellon","New York","NY","10286","6/30/2019","11/18/2019","SM","240 Greenwich Street","BANK OF NEW YORK MELLON CORPORATION, THE","9","14","1","1","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1851","1/1/1934","7/19/2018","Stock","0","1","FED","DIF","New York","WASHINGTON","New York City","New York","Northeastern","Northeast","0","0","www.bnymellon.com","22000","12000","0","12000","0","0","0","0","12000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","174000","78000","0","78000","0","0","0","0","78000","0","0","0","0","0","0","0","0","96000","0","0","0","0","0","0","0","0","0","","0","0","0"
"23472","0","398668","3587146","The Bank of New York Mellon Trust Company, National Association","Los Angeles","CA","90071","6/30/2019","11/18/2019","N","400 South Hope Street","BANK OF NEW YORK MELLON CORPORATION, THE","16","0","1","9","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","7/1/1981","7/1/1981","3/12/2012","Stock","0","1","OCC","DIF","San Francisco","WASHINGTON","Los Angeles (North)","San Francisco","Western","Western","0","0","www.bnymellon.com","5419","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","5419","0","0","0","0","9894","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","9894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"1655","0","880855","2315164","The Bank of Old Monroe","Old Monroe","MO","63369","6/30/2019","11/18/2019","NM","2100 Highway C","CUIVRE RIVER BANCSHARES, INC.","5","0","0","4","1","Lincoln","41180","St. Louis, MO-IL","9/19/1906","1/1/1934","2/17/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","","462","459","","459","78","0","78","0","229","0","152","62","90","","0","","","0","","3","0","3","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","139","131","","131","65","65","0","0","66","0","0","0","0","","0","","","0","","8","0","7","1","","0","0","0","0","0","0","0"
"10597","0","1003950","0","The Bank of Orrick","Orrick","MO","64077","6/30/2019","11/18/2019","NM","113 E. South Front St.","","2","0","0","2","0","Ray","28140","Kansas City, MO-KS","7/2/1902","1/1/1934","8/1/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","","148","144","","144","0","0","0","26","118","0","0","0","0","","0","","","0","","4","0","0","4","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","150","143","","143","0","0","0","0","143","0","0","0","0","","0","","","7","","0","0","0","0","","0","0","0","0","0","0","0"
"58513","0","3595271","0","The Bank of Princeton","Princeton","NJ","8540","6/30/2019","11/18/2019","NM","183 Bayard Lane","","19","0","1","4","0","Mercer","45940","Trenton, NJ","4/23/2007","4/23/2007","5/17/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","WWW.THEBANKOFPRINCETON.COM","11540","11540","0","11540","0","0","0","0","2661","0","8879","2280","6599","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","2700","2689","0","2689","371","371","0","0","254","0","2064","0","2064","","0","0","","11","0","0","0","0","0","","0","0","0","0","0","0","0"
"23099","0","531157","1062939","The Bank of Protection","Protection","KS","67127","6/30/2019","11/18/2019","NM","236 North Broadway","PROTECTION BANK HOLDING COMPANY, INC., THE","3","0","0","2","0","Comanche","","","4/2/1980","4/2/1980","10/9/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","275","216","","216","0","0","0","216","0","0","0","0","0","","0","","","22","","37","0","0","37","","0","0","0","0","0","0","0","111","37","","37","0","0","0","0","37","0","0","0","0","","0","","","13","","6","0","6","0","","55","0","0","55","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"845","15580","722432","1417324","The Bank of Romney","Romney","WV","26757","6/30/2019","11/18/2019","SM","95 East Main Street","ROMNEY BANKSHARES, INC.","7","0","0","6","0","Hampshire","49020","Winchester, VA-WV","1/1/1888","1/1/1934","10/4/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","2078","1724","","1724","0","0","0","0","1342","0","382","163","219","","0","","","117","","235","0","168","67","","2","0","0","0","0","0","0","49","49","","49","0","0","0","0","49","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","4082","4034","","4034","1172","0","1172","0","2225","0","637","178","459","","0","","","15","","33","0","33","0","","0","0","0","0","0","0","0"
