cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"2315","0","470452","3488485","Armstrong Bank","Muskogee","OK","74401","6/30/2019","11/18/2019","NM","1215 West Okmulgee Street","IRONHORSE FINANCIAL GROUP, INC.","21","0","1","4","0","Muskogee","","","3/15/1910","1/1/1934","5/23/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.armstrong.bank","601091","58250","27825","989","230742","261330","384","3290","10","","","57439"
"29471","3506","269571","0","Armstrong County Building and Loan Association","Ford City","PA","16226","6/30/2019","11/18/2019","SB","935 Fifth Avenue","","1","0","0","5","0","Armstrong","38300","Pittsburgh, PA","1/1/1925","1/4/1937","2/25/2019","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","","38658","1834","25738","583","47944","2279","8","5584","16","","","7326"
"29743","3995","351878","0","Aroostook County Federal Savings and Loan Association","Caribou","ME","4736","6/30/2019","11/18/2019","SA","43 High St","","2","0","0","5","0","Aroostook","","","7/29/1936","7/29/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","","74069","7192","17008","673","38094","21113","35","1662","4","","","11473"
"1198","0","570558","1237447","Arrowhead Bank","Llano","TX","78643","6/30/2019","11/18/2019","NM","108 West Sandstone Street","ARROWHEAD COMPANY","5","0","0","4","1","Llano","","","3/16/1923","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.arrowheadbanktexas.com","102438","6125","10155","326","9613","49460","84","3429","8","","","3429"
"15085","11451","591320","3137019","Arthur State Bank","Union","SC","29379","6/30/2019","11/18/2019","NM","100 East Main Street","HAO MANAGEMENT COMPANY, LLC","17","0","0","4","0","Union","","","4/1/1933","3/13/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://wwwarthurstatebank.com","299133","31169","15863","1120","40112","152120","207","295","1","","","5503"
"17123","13184","73116","0","Artisans' Bank","Wilmington","DE","19808","6/30/2019","11/18/2019","SB","2961 Centerville Road","","13","0","0","4","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","2/28/1861","7/3/1952","1/1/2014","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","1","","351776","25965","30912","1707","180426","82582","171","3614","9","","","13479"
"28780","2349","390372","0","Arundel Federal Savings Bank","Glen Burnie","MD","21061","6/30/2019","11/18/2019","SA","655 Crain Highway, S","","7","0","0","5","0","Anne Arundel","12580","Baltimore-Columbia-Towson, MD","1/1/1906","7/31/1935","9/22/2019","Non-Stock","0","0","OCC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.arundelfederal.com","260177","12428","70479","2006","208784","27582","81","6199","21","","","17372"
"8728","10375","311845","1095674","Arvest Bank","Fayetteville","AR","72701","6/30/2019","11/18/2019","SM","75 North East Street","ARVEST BANK GROUP, INC.","277","0","1","4","0","Washington","22220","Fayetteville-Springdale-Rogers, AR-MO","1/1/1871","1/1/1934","4/21/2018","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","0","www.arvest.com","10317921","1294412","273923","18622","1319212","5856225","6391","10600","31","","","172382"
"11343","10514","821643","1250419","Ashton State Bank","Ashton","IA","51232","6/30/2019","11/18/2019","NM","317 Third Street","ASHTON BANCSHARES, INC.","1","0","0","2","1","Osceola","","","3/1/1884","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","http://www.ashtonstatebank.com","25593","1580","1679","117","13915","8013","19","0","0","","","3551"
"1436","0","336950","0","Ashton State Bank","Ashton","NE","68817","6/30/2019","11/18/2019","NM","295 Center Ave.","","1","0","0","2","0","Sherman","","","12/2/1908","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","","15065","860","0","0","6571","2644","5","0","0","","","0"
