cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2019","11/18/2019","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","18","62080","2606","1130","9832","0","48249","469","0","656","0","0","737","62080","55466","53260","45707","53260","81.2407431710381","0","0","2000","0","206","6614","6614","0","200","1320","5094","0","303","0","608","59211","7958","62874.33","63005.5","51472","62138","0","0","0","0","9279","2748","2000","0","5708","6572","469","5708","0"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2019","11/18/2019","NM","2650 Route 130","1ST CONSTITUTION BANCORP","22","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","187","1303731","30114","20953","224008","0","963042","8641","0","27004","1460","13207","44896","1303731","1150830","1022353","789521","1022353","80.3204370766405","0","0","120871","0","7606","152901","152901","0","6061","85202","61638","0","3985","0","4094","1208003","418154","1223975","1247325","1152041","1213432","28993","18887","0","10106","153973","5734","104850","3863","341117","139573","8641","341117","1853"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2019","11/18/2019","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","12","102653","27624","24304","231","0","72576","1135","0","1339","0","0","883","102653","87826","82272","74579","82272","85.5423004033238","0","0","5230","0","324","14827","14827","0","2500","7750","4577","0","4342","0","236","97111","4134","100316.33","100305.5","71018","105145","402","402","0","0","6055","1500","5230","0","3579","14827","891","3579","0"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2019","11/18/2019","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","4","39210","9819","7792","0","0","28737","404","0","155","0","0","499","39210","30593","30521","30270","30521","95.3999279704024","0","0","0","0","72","8617","8617","0","1","7951","665","0","318","0","115","36529","1045","40219.33","39352","26165","39254","286","286","0","0","4588","1506","0","0","962","8617","328","962","0"
"31410","6903","535575","3834710","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","6/30/2019","11/18/2019","SB","300 Robertson Boulevard","FIRST CAROLINA BANCSHARES, M.H.C.","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","26","95500","5486","4640","7922","0","78352","850","0","1990","0","397","1353","95500","86689","83323","67638","83323","90.4389880952381","0","0","3000","0","366","8811","8811","0","1013","1111","6687","0","50","0","276","90914","15453","93570","95598.5","54495","96070","0","0","0","0","5160","941","3000","0","12069","8812","683","12069","0"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2019","11/18/2019","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","345","651500","44598","33960","50732","3175","477761","25396","0","52467","71","0","22696","651500","488203","449620","441406","449620","96.6957646154427","4000","0","19990","0","14593","163297","163297","0","88","89912","73297","0","13813","0","6661","565628","2198","667409.67","661664.5","578114","653942","0","0","0","0","11569","233","0","0","1876957","163297","7451","1876957","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2019","11/18/2019","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","70","194538","6556","3815","25917","663","145751","1243","0","4441","298","3345","7567","194538","178075","163580","125635","163580","80.1893690136726","0","0","12000","0","2495","16463","16463","0","850","824","14789","0","467","0","1685","176146","74481","187376.33","191650","131291","192167","2295","1158","0","1137","21746","1836","12000","11615","26520","14807","1411","26520","28150"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2019","11/18/2019","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","23","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","11/15/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","432","1640332","83502","68311","96251","365","1348654","12339","0","28654","254","18998","63654","1640332","1446780","1346491","1316161","1346491","75.834350743675","0","0","83210","0","17079","193552","193552","0","0","89275","104277","0","1601","0","5779","1513581","705483","1629166.67","1633011","1341428","1624480","34917","25900","0","9017","111731","3441","83210","66508","265823","184907","12624","265823","245845"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2019","11/18/2019","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","1188","6646618","102118","30208","1021786","0","5023604","104911","21397","61668","543","87426","328076","6646618","5858327","5404348","4165742","5404348","56.9795531929198","222101","21772","117761","0","92345","788291","778267","0","2818","273489","501960","10024","14027","2525","21114","6075598","939516","6437195.67","6510856","6028274","6414361","68014","48633","0","19381","609339","19665","106111","19178","1107331","706913","75761","1107331","1037725"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2019","11/18/2019","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","5","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","62","279738","51292","45742","3774","0","205937","2734","0","14942","479","953","2361","279738","251653","233100","132776","233100","58.1120665623057","0","0","17500","0","1053","28085","28085","0","6040","18127","3918","0","3465","158","567","255453","6837","282814","282628","260785","285019","0","0","0","0","7475","18998","17500","2541","117416","28088","2734","117416","11736"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2019","11/18/2019","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","5","25928","1870","1352","11449","3154","9142","108","0","79","10","0","224","25928","22036","22003","16936","22003","96.0664970930232","0","0","0","0","33","3892","3892","0","309","391","3192","0","262","0","128","25097","11068","26716.67","26628","11283","26766","0","0","0","0","267","5","0","0","837","3809","108","837","0"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2019","11/18/2019","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","182","1088248","8644","412","486990","0","555142","5545","0","12078","428","339","24627","1088248","980683","938357","864232","938357","74.5604880192093","0","0","31736","2000","8590","107565","107565","0","771","9363","97431","0","2620","0","3698","1042544","755817","1075499.33","1084462.5","592917","1083335","13180","8906","17","4257","88454","26346","31736","0","93466","105864","7145","93466","0"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","6/30/2019","11/18/2019","NM","44 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/16/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","48","253183","22686","15581","10816","507","208827","1776","0","8300","433","0","1614","253183","230849","220216","189078","220216","75.924202882106","0","0","10112","0","521","22334","22334","0","9230","6000","7104","0","1598","0","662","235731","79951","256267","255814.5","193807","248790","0","0","0","0","60981","11449","10112","0","16855","22309","1776","16855","0"
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","6/30/2019","11/18/2019","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","30","142270","7774","6291","50193","0","75984","644","0","2543","0","4690","1086","142270","122556","122197","100426","122197","93.3270077052694","0","0","0","0","359","19714","19714","0","77","17303","2334","0","205","0","553","132468","22887","143177","143575.5","94107","138186","0","0","0","0","0","38","0","395","22973","15566","644","22973","2106"
"9751","0","340256","3304352","21st Century Bank","Loretto","MN","55357","6/30/2019","11/18/2019","NM","699 North Medina Street","DOLPHIN FAMILY MANAGEMENT CO.","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","","71","541064","38134","36386","56851","0","420913","2296","0","8076","11300","0","5790","541064","482659","469943","385854","469943","81.142885071858","0","0","10000","0","2716","58405","58405","0","341","40659","17405","0","1968","1687","1626","514150","71559","510959.33","521953.5","382643","508550","1052","1052","0","0","2103","1327","10000","0","35241","58635","2296","35241","0"
"16910","0","449430","3438051","22nd State Bank","Louisville","AL","36048","6/30/2019","11/18/2019","NM","1920 Main Street","FEB BANCSHARES, INC.","5","0","0","4","1","Barbour","","","1/1/1917","5/29/1950","10/1/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","","40","141721","7218","3530","26307","3950","96685","1530","0","1782","572","0","5207","141721","128055","116714","98825","116714","83.7340889052482","0","0","11000","0","341","13666","13666","0","50","22017","-8401","0","2369","0","527","130472","47568","143745.33","144210.5","96057","141097","3305","3305","0","0","20120","3775","11000","0","14058","13869","1204","14058","0"
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","6/30/2019","11/18/2019","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","43","212558","8066","4034","1993","8600","188687","2604","0","2279","0","1000","1933","212558","173717","173005","125114","173005","76.3120182139679","0","0","0","0","712","38841","38841","0","385","30965","7491","0","284","0","695","203314","27732","214519.33","217060","196752","219661","0","0","0","0","12425","2873","0","0","38595","37913","2461","38595","0"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","6/30/2019","11/18/2019","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","","37","187972","21726","13213","1490","0","158053","1841","0","2540","0","0","4163","187972","169247","152212","101276","152212","70.2991565283653","0","0","16543","0","492","18725","18725","0","3750","23161","-8186","0","47","0","372","172756","26666","191191.67","189845.5","159056","185404","0","0","0","0","12207","14829","1000","161","40837","16188","1841","40837","0"
