name,city,state,zip,address,regulator,type,website,rssd
Alden State Bank,Alden,NY,14004,13216 Broadway,fdic,bank,,414102
"Alerus Financial, National Association",Grand Forks,ND,58201,401 Demers Avenue,fdic,bank,http://www.alerus.com,933256
Algonquin State Bank,Algonquin,IL,60102,2400 Huntington Drive North,fdic,bank,,585235
All America Bank,Oklahoma City,OK,73128,200 South Rockwell Avenue,fdic,bank,,25357
Allegiance Bank,Houston,TX,77040,8727 W Sam Houston Pkwy N,fdic,bank,,3.579589e+06
Alliance Bank,Francesville,IN,47946,101 West Montgomery Street,fdic,bank,,493741
Alliance Bank,Sulphur Springs,TX,75482,100 Jefferson Street,fdic,bank,alliancebank.com,176464
Alliance Bank,Topeka,KS,66614,3001 Southwest Wanamaker Rd,fdic,bank,,2.694944e+06
Alliance Bank,Mondovi,WI,54755,245 South Eau Claire Street,fdic,bank,www.alliancebank.us,21658
Alliance Bank,Lake City,MN,55041,105 East Lyon Avenue,fdic,bank,http://www.alliancebanks.com,166652
Alliance Bank,Cape Girardeau,MO,63701,217 North Kingshighway,fdic,bank,,2.619714e+06
Alliance Bank & Trust Company,Gastonia,NC,28054,292 West Main Ave,fdic,bank,,3.276543e+06
Alliance Bank Central Texas,Waco,TX,76710,4721 Bosque Blvd,fdic,bank,,601658
Alliance Community Bank,Petersburg,IL,62675,321 North Sixth Street,fdic,bank,,924937
Alliant Bank,Madison,MO,65263,101 East Broadway,fdic,bank,http://www.alliantbank.com,35057
"Allied First Bank,sb",Oswego,IL,60543,3201 Orchard Rd,fdic,bank,,2.140348e+06
AllNations Bank,Calumet,OK,73014,114 East Main Street,fdic,bank,,146056
Ally Bank,Sandy,UT,84070,200 West Civic Centre Drive,fdic,bank,http://www.ally.com,3.28407e+06
Alma Bank,Astoria,NY,11102,28-31 31st Street,fdic,bank,http://www.almabank.com,3.633173e+06
Almena State Bank,Almena,KS,67622,500 Main Street,fdic,bank,www.almenastatebank.com,224552
Alpine Bank,Glenwood Springs,CO,81601,2200 Grand Avenue,fdic,bank,http://www.alpinebank.com,260055
Alpine Capital Bank,New York,NY,10019,"680 Fifth Avenue, 7th Floor",fdic,bank,,2.889227e+06
Altamaha Bank and Trust Company,Vidalia,GA,30474,206 Jackson Street,fdic,bank,,199436
AltaPacific Bank,Santa Rosa,CA,95403,4845 Old Redwood Highway,fdic,bank,,3.453737e+06
Alton Bank,Alton,MO,65606,26 Court Square,fdic,bank,,881441
Altoona First Savings Bank,Altoona,PA,16603,203 North Logan Boulevard,fdic,bank,www.altoonabank.com,777870
Alva State Bank & Trust Company,Alva,OK,73717,518 College Avenue,fdic,bank,,246956
Amalgamated Bank,New York,NY,10001,275 Seventh Avenue,fdic,bank,http://AMALGAMATEDBANK.COM,661308
Amalgamated Bank of Chicago,Chicago,IL,60602,30 North Lasalle Street,fdic,bank,,397531
Amarillo National Bank,Amarillo,TX,79101,410 S Taylor,fdic,bank,www.anb.com,353555
Ambler Savings Bank,Ambler,PA,19002,155 E Butler Ave,fdic,bank,,206174
Amboy Bank,Old Bridge,NJ,8857,3590 Nj Highway 9 South,fdic,bank,www.amboybank.com,9807
"Amerant Bank, National Association",Coral Gables,FL,33134,220 Alhambra Circle,fdic,bank,www.amerantbank.com,83638
Amerasia Bank,Flushing,NY,11355,41-06 Main Street,fdic,bank,www.amerasiabankny.com,1.16965e+06
America's Community Bank,Blue Springs,MO,64015,1100 West Main Street,fdic,bank,,440857
American Bank,Bozeman,MT,59715,1632 West Main Street,fdic,bank,,630555
American Bank,Allentown,PA,18104,4029 West Tilghman Street,fdic,bank,www.ambk.com,2.580243e+06
American Bank & Trust,Monroe,NC,28110,3302 Highway 74 West,fdic,bank,,5.23079e+06
American Bank & Trust,Wessington Sprin,SD,57382,120 East Main Street,fdic,bank,,275358
American Bank & Trust Company,Covington,LA,70433,1819 N. Columbia Street,fdic,bank,,597452
American Bank & Trust Company,Opelousas,LA,70570,307 East Landry Street,fdic,bank,http://www.americanbankandtrust.net,83834
"American Bank & Trust Company, Inc.",Bowling Green,KY,42103,1302 Scottsville Road,fdic,bank,www.ambanking.com,2.919898e+06
American Bank & Trust of the Cumberlands,Livingston,TN,38570,808 West Main Street,fdic,bank,,718079
American Bank and Trust Company,Tulsa,OK,74135,6060 American Plaza,fdic,bank,americanbanktulsa.com,452159
"American Bank and Trust Company, National Association",Davenport,IA,52807,4301 East 53rd Street,fdic,bank,,2.733263e+06
American Bank Center,Dickinson,ND,58601,140 1st Avenue West,fdic,bank,http://www.weareamerican.bank,971959
American Bank of Baxter Springs,Baxter Springs,KS,66713,1201 Military Avenue,fdic,bank,,1.002953e+06
American Bank of Beaver Dam,Beaver Dam,WI,53916,115 Front Street,fdic,bank,,510648
American Bank of Commerce,Wolfforth,TX,79382,U.S. Hwy. 82 & Loop 193,fdic,bank,www.theabcbank.com,215662
American Bank of Missouri,Wellsville,MO,63384,127 West Hudson,fdic,bank,www.americanbankofmissouri.bank,568359
American Bank of Oklahoma,Collinsville,OK,74021,200 East Main Street,fdic,bank,http://www.americanbankok.com,2.684552e+06
American Bank of the North,Nashwauk,MN,55769,117 Central Avenue,fdic,bank,,716655
"American Bank, National Association",Waco,TX,76712,200 West State Highway 6,fdic,bank,,307361
"American Bank, National Association",Le Mars,IA,51031,234 Fifth Avenue S.W.,fdic,bank,www.am-bank.com,345345
"American Bank, National Association",Corpus Christi,TX,78401,800 N Shoreline Blvd Suite 2,fdic,bank,,807955
"American Bank, National Association",Dallas,TX,75220,2707 West Northwest Highway,fdic,bank,,494654
American Business Bank,Los Angeles,CA,90014,"523 W. 6th St., Suite 900",fdic,bank,http://WWW.AMERICANBB.BANK,2.734729e+06
"American Commerce Bank, National Association",Bremen,GA,30110,400 U.S. Highway 27 Bypass,fdic,bank,,3.272956e+06
American Community Bank,Glen Cove,NY,11542,300 Glen Street,fdic,bank,,2.871558e+06
American Community Bank & Trust,Woodstock,IL,60098,1290 Lake Avenue,fdic,bank,,2.869162e+06
American Community Bank of Indiana,Saint John,IN,46373,7880 Wicker Avenue,fdic,bank,,1.010574e+06
American Eagle Bank,South Elgin,IL,60177,556 Randall Road,fdic,bank,,3.116519e+06
American Continental Bank,City Of Industry,CA,91748,"17700 Castleton St, # 100",fdic,bank,,3.216316e+06
American Eagle Bank of Chicago,Chicago,IL,60647,2255 N. Western Avenue,fdic,bank,,3.559714e+06
American Equity Bank,Minnetonka,MN,55343,5900 Green Oak Drive,fdic,bank,,310754
American Exchange Bank,Henryetta,OK,74437,510-512 West Main Street,fdic,bank,,811550
American Exchange Bank,Elmwood,NE,68349,151 North 4th Street,fdic,bank,,1.014451e+06
"American Exchange Bank, Lindsay, Oklahoma",Lindsay,OK,73052,402 South Main Street,fdic,bank,,826451
American Express National  Bank,Salt Lake City,UT,84184,"4315 S 2700 West, Mail Code:",fdic,bank,http://www.americanexpress.com,1.394676e+06
American Federal Bank,Fargo,ND,58102,215 North Fifth Street,fdic,bank,,637170
American First National Bank,Houston,TX,77036,9999 Bellaire Boulevard,fdic,bank,www.afnb.com,2.694681e+06
American Heritage Bank,Sapulpa,OK,74066,2 South Main Street,fdic,bank,,311050
American Heritage Bank,Clovis,NM,88101,3300 N Prince St,fdic,bank,,2.960555e+06
American Heritage National Bank,Long Prairie,MN,56347,24 2nd Street South,fdic,bank,www.logbank.com,61757
American Interstate Bank,Elkhorn,NE,68022,3331 N 204th Street,fdic,bank,http://www.americaninterstatebank.com,547251
American Investors Bank and Mortgage,Eden Prairie,MN,55344,"6385 Old Shady Oak Rd, # 110",fdic,bank,,3.229642e+06
American Metro Bank,Chicago,IL,60640,4878 North Broadway,fdic,bank,,2.533043e+06
American Momentum Bank,College Station,TX,77845,One Momentum Boulevard,fdic,bank,www.americanmomentum.bank,3.447576e+06
American Nation Bank,Ardmore,OK,73401,1901 North Commerce,fdic,bank,,256058
American National Bank,Omaha,NE,68114,8990 West Dodge Road,fdic,bank,www.american.bank,660655
American National Bank,Oakland Park,FL,33308,4301 North Federal Highway,fdic,bank,,481430
American National Bank & Trust,Wichita Falls,TX,76308,2732a Midwestern Parkway,fdic,bank,www.amnat.com,498362
American National Bank - Fox Cities,Appleton,WI,54911,2200 North Richmond Street,fdic,bank,,2.051127e+06
American National Bank and Trust Company,Danville,VA,24541,628 Main Street,fdic,bank,www.amnb.com,958727
American National Bank of Minnesota,Baxter,MN,56425,7638 Woida Road,fdic,bank,http://www.anbmn.com,306159
"American Plus Bank, N.A.",Arcadia,CA,91007,630 West Duarte Road,fdic,bank,,3.62311e+06
American Pride Bank,Macon,GA,31204,4740 Log Cabin Drive,fdic,bank,,3.671997e+06
American River Bank,Sacramento,CA,95815,1545 River Park Drive,fdic,bank,,735768
American Riviera Bank,Santa Barbara,CA,93101,1033 Anacapa Street,fdic,bank,,3.388482e+06
American Savings Bank,Middletown,OH,45042,701 N. University Boulevard,fdic,bank,,12179
American Savings Bank,Tripoli,IA,50676,312 S. Main St,fdic,bank,,337247
"American Savings Bank, FSB",Honolulu,HI,96817,300 North Beretania Street,fdic,bank,www.asbhawaii.com,54973
American State Bank,Osceola,IA,50213,1000 Jeffreys Drive,fdic,bank,,276645
American State Bank,Sioux Center,IA,51250,525 North Main Street,fdic,bank,,735441
American State Bank,Arp,TX,75750,102 W Front,fdic,bank,,262358
American State Bank & Trust Company,Wichita,KS,67206,2110 N Webb Road,fdic,bank,,2.957014e+06
American State Bank & Trust Company of Williston,Williston,ND,58801,223 Main Street,fdic,bank,,244251
