"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
7418,6/30/2019 0:00:00,3409,0.00,0.00,0.00,0.00,0.00,0.00,5013702.00,5013702.00,0.00,0.00,0.00,0.00,3100674.00,0.00,3100674.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175000.00,175000.00,0.00,969632.00,0.00,969632.00,0.00,0.00,0.00,10027560.00,10027560.00,0.00,943552.00,0.00,943552.00,6.00,20.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,9.00,6.00,20.00,24.00,0.00,0.00,3.00,7.00,0.00,26.00,70.00,211.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00
7423,6/30/2019 0:00:00,3413,0.00,0.00,0.00,0.00,0.00,0.00,3916895.00,3916895.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3916895.00,3916895.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00
7428,6/30/2019 0:00:00,3416,0.00,0.00,0.00,0.00,0.00,0.00,163717.00,163717.00,0.00,0.00,0.00,0.00,5382873.00,0.00,5382873.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7970700.00,7970700.00,0.00,2424110.00,0.00,2424110.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,208.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,561.00
7448,6/30/2019 0:00:00,3424,0.00,0.00,0.00,0.00,0.00,0.00,43428648.00,43428648.00,0.00,0.00,0.00,0.00,62787193.00,0.00,62787193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81566.00,81566.00,0.00,3106311.00,0.00,3106311.00,6469407.00,0.00,6469407.00,122690430.00,122690430.00,0.00,6898871.00,0.00,6898871.00,83.00,29.00,6.00,12.00,0.00,0.00,0.00,2.00,55.00,25.00,56.00,29.00,86.00,9.00,0.00,1.00,2.00,26.00,112.00,1126.00,1740.00,40.00,0.00,0.00,0.00,0.00,0.00,1430.00
7465,6/30/2019 0:00:00,3435,0.00,0.00,0.00,0.00,0.00,0.00,2346119.00,2346119.00,0.00,775.00,775.00,0.00,6358620.00,0.00,6358620.00,0.00,0.00,0.00,0.00,105864.00,105864.00,0.00,0.00,0.00,222593.00,116729.00,105864.00,152748.00,0.00,152748.00,59774.00,0.00,59774.00,12464856.00,12464856.00,0.00,3546820.00,0.00,3546820.00,13.00,22.00,0.00,1.00,0.00,0.00,11.00,0.00,1.00,15.00,12.00,22.00,34.00,0.00,0.00,0.00,5.00,1.00,35.00,430.00,131.00,0.00,0.00,0.00,0.00,0.00,0.00,1050.00
7471,6/30/2019 0:00:00,3436,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351114.00,351114.00,0.00,351114.00,0.00,351114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00
7473,6/30/2019 0:00:00,3438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00
7482,6/30/2019 0:00:00,3443,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4626659.00,4626659.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447156.00,0.00,447156.00,0.00,0.00,0.00,5693903.00,1067244.00,4626659.00,620088.00,0.00,620088.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.00
7504,6/30/2019 0:00:00,3450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00
7509,6/30/2019 0:00:00,3453,0.00,0.00,0.00,0.00,0.00,0.00,762131.00,762131.00,0.00,0.00,0.00,0.00,3656918.00,0.00,3656918.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96034.00,0.00,96034.00,320305.00,0.00,320305.00,6089568.00,6089568.00,0.00,1254180.00,0.00,1254180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00
7520,6/30/2019 0:00:00,3456,0.00,0.00,0.00,0.00,0.00,0.00,192990.00,192990.00,0.00,0.00,0.00,0.00,1140448.00,0.00,1140448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4373.00,0.00,4373.00,0.00,0.00,0.00,1713215.00,1713215.00,0.00,375404.00,0.00,375404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,6.00,30.00,0.00,0.00,0.00,0.00,0.00,158.00
7524,6/30/2019 0:00:00,3459,0.00,0.00,0.00,0.00,0.00,0.00,5997220.00,5997220.00,0.00,1235232.00,1235232.00,0.00,1129875.00,0.00,1129875.00,0.00,0.00,0.00,0.00,0.00,0.00,767365.00,0.00,767365.00,1140705.00,1140705.00,0.00,2085507.00,0.00,2085507.00,49050.00,0.00,49050.00,10896727.00,10896727.00,0.00,399843.00,0.00,399843.00,83.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,12.00,0.00,50.00,0.00,50.00,20.00,0.00,0.00,0.00,33.00,83.00,390.00,331.00,0.00,16.00,13.00,0.00,0.00,29.00,865.00
